,choice_set,choice
202,"('A', 'F')",F
203,"('D', 'G', 'H', 'I')",I
204,"('B', 'I')",B
205,"('G', 'H', 'I')",H
206,"('B', 'I')",I
207,"('A', 'E', 'H', 'I')",H
208,"('A', 'C', 'H', 'I')",A
209,"('A', 'F', 'H', 'I')",A
210,"('A', 'E')",A
211,"('A', 'G')",G
212,"('A', 'F', 'G')",F
213,"('E', 'G')",E
214,"('A', 'C', 'F')",C
215,"('A', 'D', 'I')",D
216,"('E', 'G')",G
217,"('D', 'F', 'H', 'I')",H
218,"('G', 'H', 'I')",G
219,"('D', 'E', 'G')",D
220,"('C', 'D', 'E', 'I')",E
221,"('E', 'H', 'I')",H
222,"('A', 'D', 'H', 'I')",H
223,"('B', 'C', 'E', 'I')",E
224,"('A', 'B', 'C')",B
225,"('A', 'D', 'G', 'I')",G
226,"('A', 'B', 'F', 'H')",A
227,"('A', 'E', 'F')",E
228,"('A', 'D', 'H')",H
229,"('B', 'D', 'F')",F
230,"('B', 'D', 'I')",B
231,"('F', 'I')",F
232,"('D', 'F')",F
233,"('A', 'F', 'G')",A
234,"('D', 'E', 'F')",E
235,"('A', 'B', 'C', 'H')",H
236,"('C', 'G')",G
237,"('E', 'I')",E
238,"('D', 'F', 'H')",D
239,"('C', 'E', 'F', 'G')",F
240,"('A', 'C', 'D', 'F')",D
241,"('F', 'G', 'H')",F
242,"('D', 'G', 'H')",G
243,"('B', 'E')",E
244,"('B', 'E', 'F', 'G')",E
245,"('A', 'C', 'G', 'H')",H
246,"('C', 'F')",F
247,"('B', 'D', 'E', 'I')",B
248,"('A', 'D')",D
249,"('A', 'G')",A
250,"('D', 'E')",D
251,"('A', 'D', 'E')",A
252,"('B', 'C', 'F', 'H')",H
253,"('D', 'E')",E
254,"('H', 'I')",H
255,"('C', 'F', 'H')",F
256,"('A', 'C', 'G')",G
257,"('E', 'F', 'H', 'I')",H
258,"('C', 'F', 'I')",F
259,"('A', 'B', 'D', 'H')",H
260,"('A', 'B')",A
261,"('B', 'H', 'I')",H
262,"('B', 'E', 'G')",B
263,"('C', 'D', 'F', 'H')",H
264,"('D', 'F')",D
265,"('A', 'E', 'G')",G
266,"('C', 'D', 'F', 'I')",D
267,"('D', 'E')",E
268,"('E', 'G')",G
269,"('F', 'H')",F
270,"('A', 'C', 'H')",C
271,"('A', 'C', 'H')",H
272,"('C', 'D', 'H', 'I')",D
273,"('D', 'E', 'G', 'H')",H
274,"('B', 'D', 'I')",D
275,"('B', 'D', 'E', 'F')",E
276,"('B', 'D', 'E', 'I')",D
277,"('B', 'D', 'F')",D
278,"('F', 'I')",F
279,"('A', 'C', 'E', 'F')",F
280,"('B', 'C', 'F', 'G')",C
281,"('A', 'I')",A
282,"('A', 'D', 'I')",D
283,"('D', 'E')",E
284,"('B', 'C', 'E', 'F')",C
285,"('D', 'F', 'G', 'I')",G
286,"('B', 'D', 'I')",D
287,"('A', 'H')",H
288,"('A', 'H', 'I')",H
289,"('H', 'I')",H
290,"('A', 'D', 'I')",A
291,"('C', 'E', 'G')",E
292,"('E', 'G', 'I')",I
293,"('C', 'H')",H
294,"('B', 'F')",B
295,"('B', 'C', 'G', 'I')",B
296,"('A', 'C', 'I')",A
297,"('F', 'H')",F
298,"('B', 'H')",H
299,"('C', 'D', 'E', 'H')",E
300,"('C', 'D', 'G', 'H')",G
301,"('E', 'G')",G
302,"('A', 'B', 'E')",E
303,"('D', 'E', 'G', 'H')",H
304,"('D', 'F', 'G')",F
305,"('B', 'F')",F
306,"('E', 'H', 'I')",H
307,"('F', 'G')",F
308,"('E', 'G', 'I')",G
309,"('A', 'C', 'H')",H
310,"('A', 'D', 'F', 'G')",F
311,"('E', 'G', 'H', 'I')",G
312,"('B', 'H')",B
313,"('C', 'D', 'E')",D
314,"('D', 'H')",D
315,"('C', 'D')",D
316,"('D', 'H', 'I')",D
317,"('G', 'I')",G
318,"('D', 'E', 'F')",E
319,"('A', 'E')",E
320,"('A', 'F', 'I')",F
321,"('A', 'F')",F
322,"('C', 'F', 'H', 'I')",C
323,"('C', 'D', 'G', 'H')",C
324,"('C', 'G')",C
325,"('A', 'B', 'F')",F
326,"('C', 'I')",C
327,"('C', 'D', 'G', 'I')",D
328,"('B', 'G')",G
329,"('A', 'C', 'G', 'I')",I
330,"('A', 'D', 'G')",G
331,"('D', 'F', 'G')",D
332,"('A', 'C')",A
333,"('C', 'E', 'G')",G
334,"('B', 'G', 'H', 'I')",I
335,"('A', 'B', 'G', 'I')",G
336,"('A', 'D', 'E')",E
337,"('A', 'D', 'E', 'I')",I
338,"('D', 'I')",D
339,"('D', 'E')",E
340,"('C', 'I')",C
341,"('C', 'E', 'F', 'I')",I
342,"('D', 'I')",D
343,"('A', 'I')",A
344,"('A', 'B', 'D')",D
345,"('C', 'F')",F
346,"('A', 'D', 'G', 'I')",D
347,"('D', 'F')",F
348,"('C', 'G', 'H', 'I')",G
349,"('A', 'E', 'G', 'I')",A
350,"('C', 'E', 'G', 'H')",G
351,"('A', 'D', 'E')",A
352,"('C', 'I')",C
353,"('C', 'F')",F
354,"('A', 'B', 'E', 'G')",A
355,"('D', 'E', 'G', 'H')",E
356,"('C', 'E', 'G', 'I')",I
357,"('G', 'I')",G
358,"('B', 'D', 'E')",D
359,"('C', 'D', 'H')",D
360,"('B', 'D', 'H', 'I')",H
361,"('B', 'E', 'H')",E
362,"('B', 'D', 'E', 'F')",B
363,"('D', 'F', 'G')",G
364,"('A', 'E', 'G', 'I')",G
365,"('A', 'E', 'F', 'I')",E
366,"('A', 'E', 'I')",A
367,"('F', 'H')",F
368,"('D', 'H', 'I')",D
369,"('G', 'H')",G
370,"('C', 'D')",D
371,"('C', 'D', 'F')",F
372,"('A', 'B')",B
373,"('C', 'E', 'H')",E
374,"('A', 'B', 'D', 'F')",B
375,"('G', 'I')",G
376,"('B', 'E')",E
377,"('D', 'G', 'H')",D
378,"('A', 'D', 'E')",A
379,"('B', 'E', 'G', 'H')",B
380,"('B', 'D')",D
381,"('E', 'F', 'G', 'I')",F
382,"('A', 'C', 'E', 'I')",C
383,"('C', 'D', 'E', 'I')",E
384,"('E', 'G')",G
385,"('C', 'H')",H
386,"('B', 'C', 'F')",F
387,"('B', 'E', 'G', 'I')",G
388,"('G', 'H', 'I')",G
389,"('D', 'E', 'G', 'H')",E
390,"('A', 'E', 'F')",F
391,"('C', 'D', 'H', 'I')",H
392,"('A', 'B', 'D', 'H')",D
393,"('A', 'G', 'I')",I
394,"('A', 'B')",B
395,"('B', 'C', 'D')",D
396,"('C', 'H')",H
397,"('C', 'F', 'H')",F
398,"('A', 'D', 'G', 'H')",A
399,"('A', 'B', 'I')",B
400,"('A', 'B', 'I')",A
401,"('B', 'I')",B
402,"('C', 'H')",H
403,"('B', 'E')",B
404,"('D', 'E', 'F')",F
405,"('E', 'H')",E
406,"('C', 'D', 'E', 'H')",H
407,"('B', 'E', 'I')",E
408,"('D', 'G', 'H')",H
409,"('A', 'C', 'D', 'H')",C
410,"('B', 'H')",H
411,"('B', 'C', 'H', 'I')",I
412,"('A', 'D', 'E', 'H')",D
413,"('A', 'C', 'E')",E
414,"('F', 'I')",F
415,"('C', 'D', 'H')",D
416,"('A', 'D')",D
417,"('B', 'C', 'D')",D
418,"('B', 'F')",F
419,"('A', 'D', 'H')",D
420,"('A', 'B', 'D', 'I')",D
421,"('B', 'C', 'H', 'I')",C
422,"('A', 'D', 'H', 'I')",D
423,"('B', 'C', 'E')",C
424,"('A', 'F', 'G', 'H')",F
425,"('E', 'F', 'G')",E
426,"('F', 'H', 'I')",F
427,"('B', 'C', 'E', 'I')",E
428,"('A', 'B')",B
429,"('A', 'B', 'I')",A
430,"('A', 'E', 'G')",G
431,"('A', 'E', 'G', 'I')",E
432,"('B', 'C', 'F')",F
433,"('C', 'E', 'H', 'I')",E
434,"('A', 'B', 'C', 'I')",A
435,"('D', 'F')",D
436,"('C', 'F', 'H')",F
437,"('A', 'B', 'G')",G
438,"('A', 'C', 'D', 'H')",D
439,"('A', 'D', 'F', 'G')",F
440,"('A', 'B', 'F', 'H')",F
441,"('B', 'G', 'I')",I
442,"('D', 'E', 'H')",E
443,"('B', 'I')",B
444,"('D', 'E')",E
445,"('A', 'G', 'I')",A
446,"('E', 'F')",E
447,"('F', 'H')",H
448,"('B', 'F', 'G', 'H')",F
449,"('E', 'F', 'G')",F
450,"('D', 'F', 'H', 'I')",F
451,"('C', 'E', 'G')",E
452,"('C', 'F', 'G', 'H')",H
453,"('F', 'I')",F
454,"('A', 'D', 'H', 'I')",D
455,"('A', 'D', 'I')",D
456,"('G', 'I')",G
457,"('D', 'E')",E
458,"('D', 'E', 'I')",E
459,"('C', 'F', 'G', 'H')",G
460,"('H', 'I')",H
461,"('C', 'E', 'F', 'H')",F
462,"('D', 'E', 'G')",G
463,"('C', 'D', 'E', 'F')",E
464,"('D', 'F', 'H')",D
465,"('H', 'I')",I
466,"('A', 'B', 'D', 'H')",D
467,"('D', 'E', 'G')",G
468,"('B', 'G', 'I')",G
469,"('A', 'C', 'H')",A
470,"('A', 'I')",I
471,"('B', 'E', 'G', 'I')",B
472,"('B', 'C', 'F', 'I')",F
473,"('B', 'D', 'E')",B
474,"('B', 'C', 'E')",C
475,"('A', 'F', 'G', 'I')",A
476,"('C', 'E', 'I')",E
477,"('F', 'G', 'I')",I
478,"('E', 'F', 'G')",F
479,"('A', 'C', 'E')",E
480,"('H', 'I')",H
481,"('A', 'I')",I
482,"('A', 'G')",G
483,"('A', 'E', 'F', 'I')",F
484,"('C', 'F')",F
485,"('C', 'E', 'F', 'G')",G
486,"('D', 'G', 'H', 'I')",I
487,"('C', 'D', 'I')",D
488,"('A', 'E')",E
489,"('E', 'I')",E
490,"('C', 'F', 'H')",F
491,"('F', 'H', 'I')",F
492,"('E', 'G')",G
493,"('B', 'D')",D
494,"('B', 'D', 'E')",E
495,"('C', 'I')",C
496,"('A', 'C', 'E', 'F')",E
497,"('A', 'B', 'C')",B
498,"('A', 'H')",A
499,"('B', 'H')",B
500,"('C', 'D', 'F')",D
501,"('C', 'D', 'F', 'G')",C
502,"('C', 'D', 'G', 'I')",D
503,"('B', 'E', 'I')",B
504,"('B', 'C')",B
505,"('A', 'C', 'D', 'H')",A
506,"('D', 'F', 'I')",F
507,"('C', 'D', 'F', 'H')",C
508,"('A', 'E', 'H', 'I')",A
509,"('B', 'E', 'F')",F
510,"('C', 'E')",E
511,"('B', 'D')",D
512,"('D', 'F', 'G')",D
513,"('A', 'B')",A
514,"('A', 'B', 'D', 'E')",E
515,"('E', 'I')",E
516,"('B', 'D', 'F', 'H')",B
517,"('H', 'I')",H
518,"('B', 'D', 'H')",D
519,"('C', 'H')",H
520,"('C', 'E', 'F', 'G')",G
521,"('B', 'C', 'H')",B
522,"('A', 'G')",G
523,"('E', 'I')",E
524,"('A', 'B', 'C', 'E')",A
525,"('H', 'I')",H
526,"('E', 'H', 'I')",I
527,"('F', 'G')",G
528,"('A', 'B', 'D', 'F')",F
529,"('C', 'E', 'G', 'I')",G
530,"('C', 'E', 'F', 'G')",F
531,"('A', 'B', 'C', 'H')",C
532,"('B', 'D', 'E', 'G')",E
533,"('A', 'F')",F
534,"('D', 'G', 'H', 'I')",G
535,"('B', 'C')",B
536,"('H', 'I')",H
537,"('C', 'D', 'E', 'I')",E
538,"('A', 'G', 'H')",G
539,"('A', 'E', 'F')",E
540,"('B', 'E', 'I')",E
541,"('C', 'F', 'G', 'H')",G
542,"('E', 'F')",F
543,"('B', 'D', 'H')",D
544,"('B', 'E', 'F')",F
545,"('C', 'E', 'F', 'I')",F
546,"('B', 'D')",B
547,"('C', 'D', 'E')",E
548,"('A', 'H')",H
549,"('F', 'G', 'H')",F
550,"('A', 'D', 'F')",F
551,"('A', 'D', 'E')",A
552,"('A', 'D', 'G', 'I')",I
553,"('C', 'G')",G
554,"('B', 'F')",F
555,"('F', 'I')",F
556,"('A', 'D', 'F')",F
557,"('A', 'B')",A
558,"('A', 'G')",A
559,"('A', 'G')",G
560,"('A', 'G', 'I')",G
561,"('A', 'B', 'D', 'E')",E
562,"('C', 'H')",H
563,"('F', 'I')",F
564,"('B', 'I')",B
565,"('C', 'D', 'E', 'G')",D
566,"('A', 'C', 'D', 'G')",G
567,"('A', 'D')",A
568,"('A', 'B')",B
569,"('F', 'G', 'H', 'I')",H
570,"('A', 'C', 'E', 'G')",E
571,"('B', 'D', 'E', 'H')",D
572,"('A', 'G')",G
573,"('F', 'I')",F
574,"('D', 'H')",D
575,"('E', 'F')",F
576,"('C', 'E')",E
577,"('A', 'C', 'D', 'H')",D
578,"('B', 'D', 'I')",D
579,"('B', 'D', 'E')",B
580,"('A', 'E')",E
581,"('B', 'C', 'D', 'E')",D
582,"('B', 'C', 'E', 'I')",E
583,"('A', 'B')",B
584,"('A', 'H', 'I')",I
585,"('A', 'B', 'D', 'G')",G
586,"('D', 'G', 'I')",G
587,"('A', 'B', 'D')",D
588,"('A', 'B', 'E')",E
589,"('D', 'E', 'G', 'H')",E
590,"('E', 'F', 'I')",F
591,"('E', 'F', 'G')",E
592,"('C', 'D', 'F')",F
593,"('F', 'H')",H
594,"('D', 'F', 'G')",F
595,"('B', 'C', 'D', 'E')",D
596,"('B', 'C', 'F', 'G')",F
597,"('C', 'D', 'G')",G
598,"('C', 'D', 'E')",D
599,"('B', 'G')",G
600,"('E', 'G', 'H')",H
601,"('B', 'E', 'H', 'I')",E
602,"('A', 'H')",A
603,"('G', 'H')",G
604,"('D', 'E', 'F')",D
605,"('D', 'F')",F
606,"('B', 'C', 'F', 'G')",F
607,"('E', 'H', 'I')",E
608,"('E', 'G', 'I')",G
609,"('A', 'C', 'D')",D
610,"('D', 'F')",F
611,"('A', 'E', 'I')",A
612,"('A', 'C')",A
613,"('C', 'G')",G
614,"('A', 'C', 'D', 'E')",A
615,"('A', 'C', 'D', 'E')",E
616,"('A', 'C', 'D', 'E')",E
617,"('F', 'H')",F
618,"('A', 'D', 'G', 'I')",A
619,"('A', 'B', 'D', 'F')",F
620,"('E', 'F', 'G')",F
621,"('B', 'E')",E
622,"('C', 'E')",E
623,"('A', 'E')",E
624,"('A', 'B', 'E', 'I')",E
625,"('A', 'C', 'F')",C
626,"('C', 'H')",C
627,"('E', 'H', 'I')",E
628,"('B', 'C', 'G')",B
629,"('A', 'B', 'C', 'E')",B
630,"('G', 'I')",G
631,"('A', 'B', 'E')",E
632,"('C', 'E')",E
633,"('B', 'C', 'G')",B
634,"('C', 'D', 'E')",E
635,"('E', 'G', 'H', 'I')",H
636,"('A', 'D', 'H', 'I')",D
637,"('A', 'D', 'H', 'I')",D
638,"('B', 'C', 'I')",I
639,"('B', 'C', 'G')",B
640,"('B', 'F', 'I')",F
641,"('A', 'B', 'H')",H
642,"('B', 'C', 'F')",F
643,"('D', 'G')",D
644,"('C', 'E', 'G', 'I')",C
645,"('F', 'I')",F
646,"('A', 'H')",A
647,"('C', 'G')",G
648,"('C', 'F', 'G')",F
649,"('A', 'B', 'C', 'D')",D
650,"('C', 'E', 'F')",E
651,"('C', 'F')",F
652,"('B', 'H')",H
653,"('D', 'E')",D
654,"('A', 'I')",A
655,"('A', 'I')",A
656,"('A', 'B', 'C')",C
657,"('D', 'E')",E
658,"('A', 'C', 'E', 'F')",F
659,"('H', 'I')",H
660,"('F', 'G')",F
661,"('B', 'F', 'G')",F
662,"('A', 'D', 'F', 'G')",F
663,"('C', 'D', 'G')",G
664,"('A', 'B', 'E', 'G')",E
665,"('F', 'H', 'I')",H
666,"('A', 'E', 'F')",F
667,"('C', 'F')",F
668,"('B', 'D', 'F', 'I')",F
669,"('F', 'H', 'I')",F
670,"('A', 'D', 'E', 'F')",E
671,"('B', 'D', 'F', 'H')",H
672,"('A', 'D')",D
673,"('D', 'E', 'F', 'G')",F
674,"('C', 'E')",C
675,"('B', 'C', 'D')",D
676,"('C', 'D', 'E')",E
677,"('D', 'I')",D
678,"('B', 'C', 'H', 'I')",B
679,"('A', 'F')",A
680,"('A', 'F', 'H')",A
681,"('B', 'C', 'E')",B
682,"('F', 'G', 'H')",G
683,"('A', 'F', 'H')",F
684,"('B', 'E')",E
685,"('A', 'B', 'C')",B
686,"('B', 'D', 'F', 'I')",F
687,"('C', 'D', 'F', 'G')",D
688,"('A', 'D', 'E', 'F')",F
689,"('A', 'C', 'E', 'G')",A
690,"('H', 'I')",H
691,"('A', 'E', 'F', 'H')",E
692,"('A', 'F', 'G', 'H')",G
693,"('B', 'D', 'F')",F
694,"('B', 'C', 'E', 'F')",F
695,"('B', 'E', 'F', 'H')",F
696,"('A', 'D', 'E', 'G')",A
697,"('B', 'C')",B
698,"('A', 'D', 'E', 'F')",A
699,"('B', 'E', 'F')",F
700,"('A', 'D', 'E', 'H')",D
701,"('B', 'F', 'I')",B
702,"('F', 'G')",F
703,"('D', 'G', 'H', 'I')",G
704,"('B', 'F', 'G', 'I')",F
705,"('E', 'F', 'G', 'I')",E
706,"('A', 'E', 'F')",F
707,"('B', 'E', 'G', 'I')",G
708,"('C', 'E', 'F')",F
709,"('B', 'C', 'H')",C
710,"('D', 'E', 'H', 'I')",E
711,"('D', 'I')",D
712,"('E', 'G', 'H')",H
713,"('A', 'C', 'E', 'I')",E
714,"('A', 'B', 'E', 'F')",E
715,"('E', 'I')",E
716,"('A', 'B', 'D', 'F')",D
717,"('B', 'D', 'H')",H
718,"('B', 'D', 'F')",F
719,"('E', 'F', 'G')",G
720,"('C', 'D')",D
721,"('A', 'D')",A
722,"('E', 'G', 'I')",G
723,"('E', 'F', 'I')",I
724,"('A', 'D')",A
725,"('B', 'C', 'E', 'H')",E
726,"('C', 'F', 'H')",C
727,"('E', 'F', 'G')",F
728,"('A', 'E', 'F')",F
729,"('D', 'F', 'G', 'I')",I
730,"('B', 'F')",F
731,"('A', 'D')",A
732,"('A', 'F', 'G', 'I')",A
733,"('G', 'H', 'I')",G
734,"('A', 'D', 'E')",E
735,"('A', 'E', 'F')",A
736,"('A', 'D', 'F', 'I')",D
737,"('A', 'B', 'G')",G
738,"('B', 'F', 'H')",H
739,"('B', 'E')",E
740,"('B', 'D')",D
741,"('D', 'G', 'H')",D
742,"('F', 'G')",G
743,"('B', 'E')",E
744,"('C', 'E', 'F', 'G')",C
745,"('A', 'E', 'G', 'H')",A
746,"('D', 'G', 'I')",G
747,"('B', 'D', 'H')",D
748,"('C', 'D')",D
749,"('G', 'H')",H
750,"('B', 'E', 'G')",G
751,"('A', 'B', 'G')",G
752,"('A', 'C', 'D')",D
753,"('A', 'C', 'G')",C
754,"('A', 'C', 'G')",G
755,"('G', 'H', 'I')",H
756,"('D', 'G', 'H')",H
757,"('A', 'D', 'F', 'H')",A
758,"('A', 'B')",B
759,"('A', 'B', 'G')",G
760,"('A', 'B', 'E', 'F')",F
761,"('B', 'H')",B
762,"('B', 'D', 'E')",B
763,"('C', 'F', 'H')",C
764,"('C', 'F', 'G', 'I')",G
765,"('A', 'E', 'F')",F
766,"('D', 'F')",F
767,"('B', 'C', 'H')",B
768,"('E', 'I')",I
769,"('B', 'F', 'H', 'I')",B
770,"('A', 'B', 'I')",A
771,"('D', 'G')",D
772,"('A', 'B', 'F')",A
773,"('E', 'I')",I
774,"('D', 'H')",H
775,"('B', 'E', 'I')",B
776,"('A', 'B', 'C', 'I')",I
777,"('A', 'C', 'E')",E
778,"('B', 'C', 'D')",C
779,"('B', 'C', 'D', 'I')",I
780,"('C', 'F', 'H')",F
781,"('F', 'G')",F
782,"('F', 'H')",F
783,"('C', 'G')",G
784,"('C', 'I')",C
785,"('A', 'E', 'F')",A
786,"('E', 'G')",G
787,"('B', 'D', 'H', 'I')",H
788,"('C', 'E')",E
789,"('C', 'D', 'F', 'H')",D
790,"('B', 'C', 'F', 'I')",I
791,"('A', 'D', 'F')",A
792,"('H', 'I')",H
793,"('A', 'H')",A
794,"('C', 'I')",C
795,"('F', 'H')",F
796,"('A', 'G', 'H')",H
797,"('C', 'F', 'G', 'I')",C
798,"('C', 'D', 'H')",H
799,"('B', 'C', 'D', 'F')",D
800,"('B', 'C', 'E', 'G')",G
801,"('B', 'E')",E
802,"('A', 'B', 'D', 'G')",G
803,"('C', 'H', 'I')",H
804,"('A', 'B', 'C')",B
805,"('C', 'E', 'G')",G
806,"('D', 'H')",D
807,"('B', 'F', 'G', 'I')",B
808,"('B', 'E', 'F')",B
809,"('A', 'B', 'D', 'G')",G
810,"('A', 'D', 'E', 'G')",G
811,"('C', 'D', 'F')",F
812,"('D', 'F', 'G', 'I')",F
813,"('G', 'I')",G
814,"('G', 'I')",G
815,"('C', 'H', 'I')",H
816,"('G', 'I')",G
817,"('B', 'D', 'E', 'H')",D
818,"('G', 'H')",H
819,"('B', 'C', 'G', 'I')",G
820,"('B', 'C', 'H', 'I')",C
821,"('D', 'F')",F
822,"('E', 'F')",F
823,"('D', 'G', 'I')",D
824,"('B', 'H')",B
