,choice_set,choice
137,"('C', 'D', 'E', 'G')",D
138,"('D', 'J', 'N', 'Q')",J
139,"('B', 'M')",M
140,"('F', 'L', 'N')",F
141,"('B', 'C', 'D')",D
142,"('F', 'K', 'M', 'Q')",M
143,"('G', 'J')",J
144,"('D', 'P')",D
145,"('G', 'J', 'K', 'N')",N
146,"('A', 'B')",A
147,"('A', 'B', 'C', 'L')",L
148,"('A', 'P')",P
149,"('F', 'M')",F
150,"('C', 'N', 'Q')",C
151,"('D', 'M', 'O')",M
152,"('B', 'H', 'J', 'O')",J
153,"('J', 'L')",J
154,"('C', 'L', 'M', 'Q')",C
155,"('D', 'G', 'H', 'J')",D
156,"('B', 'G')",G
157,"('C', 'D', 'F', 'L')",F
158,"('C', 'G', 'L', 'Q')",C
159,"('D', 'J')",D
160,"('D', 'G', 'J', 'P')",J
161,"('D', 'J', 'O')",D
162,"('B', 'D', 'L', 'Q')",D
163,"('E', 'G', 'N')",E
164,"('B', 'P')",B
165,"('C', 'E', 'M', 'Q')",C
166,"('A', 'I', 'J')",I
167,"('A', 'B', 'E', 'L')",L
168,"('C', 'N', 'O')",C
169,"('C', 'G')",G
170,"('A', 'B', 'L', 'N')",N
171,"('C', 'J')",J
172,"('H', 'N', 'P', 'Q')",N
173,"('C', 'F')",F
174,"('C', 'K', 'P')",K
175,"('A', 'E', 'K')",E
176,"('A', 'H', 'P')",A
177,"('I', 'M', 'O', 'Q')",I
178,"('C', 'F', 'I', 'P')",C
179,"('C', 'E', 'J', 'K')",E
180,"('C', 'N', 'O')",C
181,"('A', 'E', 'M')",M
182,"('G', 'I', 'M', 'P')",I
183,"('H', 'I')",I
184,"('I', 'K')",I
185,"('C', 'I', 'P')",I
186,"('J', 'M')",M
187,"('J', 'M', 'O', 'P')",P
188,"('A', 'F', 'H')",H
189,"('E', 'F', 'O')",O
190,"('B', 'L', 'P')",B
191,"('F', 'G', 'I', 'O')",G
192,"('A', 'E', 'M', 'O')",E
193,"('D', 'G', 'I')",D
194,"('A', 'F', 'I', 'K')",F
195,"('H', 'I', 'L', 'N')",H
196,"('B', 'E', 'F')",E
197,"('D', 'J')",J
198,"('J', 'P')",P
199,"('J', 'K', 'M', 'O')",O
200,"('I', 'N')",I
201,"('H', 'L', 'Q')",H
202,"('I', 'M')",M
203,"('C', 'G', 'Q')",C
204,"('D', 'L')",D
205,"('C', 'G')",C
206,"('J', 'P')",J
207,"('H', 'M')",H
208,"('H', 'I', 'O', 'P')",H
209,"('A', 'J')",J
210,"('C', 'D', 'J', 'M')",J
211,"('B', 'E', 'I', 'L')",E
212,"('A', 'M', 'N')",N
213,"('I', 'K', 'O')",K
214,"('J', 'O')",J
215,"('E', 'G', 'O')",E
216,"('L', 'M', 'O')",O
217,"('D', 'L')",D
218,"('E', 'F', 'Q')",E
219,"('D', 'G')",G
220,"('F', 'O')",F
221,"('D', 'J', 'P')",D
222,"('B', 'N', 'P')",P
223,"('G', 'J', 'K', 'N')",N
224,"('E', 'F', 'O', 'P')",O
225,"('C', 'H', 'I')",C
226,"('D', 'Q')",D
227,"('H', 'J')",H
228,"('F', 'I', 'O')",F
229,"('A', 'B', 'G', 'H')",A
230,"('D', 'N')",N
231,"('D', 'E', 'O')",E
232,"('B', 'D', 'M', 'N')",D
233,"('A', 'I', 'N', 'O')",O
234,"('B', 'C', 'I', 'Q')",I
235,"('E', 'G', 'O')",E
236,"('E', 'P')",P
237,"('I', 'O', 'Q')",O
238,"('F', 'M', 'Q')",Q
239,"('B', 'I', 'M', 'N')",N
240,"('P', 'Q')",P
241,"('F', 'H', 'K', 'N')",K
242,"('D', 'N', 'O', 'P')",D
243,"('F', 'N', 'P')",F
244,"('B', 'L', 'Q')",Q
245,"('K', 'O', 'Q')",Q
246,"('D', 'K')",K
247,"('H', 'I')",H
248,"('E', 'L', 'M', 'Q')",M
249,"('G', 'H', 'L')",L
250,"('H', 'O')",H
251,"('G', 'N')",N
252,"('A', 'B', 'F', 'I')",I
253,"('J', 'N', 'O', 'Q')",N
254,"('I', 'P')",I
255,"('I', 'N')",N
256,"('A', 'J')",A
257,"('B', 'P')",B
258,"('I', 'K')",I
259,"('G', 'Q')",Q
260,"('A', 'I', 'N')",N
261,"('G', 'K', 'M', 'N')",N
262,"('B', 'K')",K
263,"('F', 'O')",O
264,"('A', 'I', 'P')",A
265,"('B', 'E', 'G', 'I')",B
266,"('G', 'K')",K
267,"('D', 'J')",D
268,"('F', 'K', 'M', 'Q')",M
269,"('B', 'C', 'D', 'O')",D
270,"('A', 'F', 'H', 'Q')",F
271,"('G', 'J')",G
272,"('G', 'L', 'Q')",G
273,"('A', 'D', 'L')",D
274,"('I', 'P')",I
275,"('C', 'E')",C
276,"('B', 'J', 'N')",B
277,"('G', 'P')",G
278,"('F', 'M', 'N', 'P')",P
279,"('A', 'D', 'E')",A
280,"('A', 'H', 'P')",A
281,"('M', 'N', 'Q')",M
282,"('F', 'I', 'O', 'Q')",I
283,"('H', 'M', 'N')",H
284,"('C', 'G', 'I', 'Q')",C
285,"('E', 'J', 'L', 'N')",L
286,"('B', 'D', 'I')",D
287,"('H', 'K', 'M', 'P')",K
288,"('C', 'J', 'M', 'Q')",C
289,"('C', 'E')",E
290,"('E', 'G', 'K', 'P')",G
291,"('C', 'G', 'K')",K
292,"('D', 'M')",D
293,"('A', 'K', 'L', 'P')",L
294,"('E', 'P')",E
295,"('C', 'I', 'M')",I
296,"('C', 'H', 'M', 'Q')",M
297,"('I', 'N', 'O', 'P')",O
298,"('A', 'F')",A
299,"('C', 'P', 'Q')",C
300,"('C', 'G', 'H', 'N')",C
301,"('A', 'J', 'M', 'O')",M
302,"('C', 'L', 'N', 'P')",N
303,"('E', 'K', 'Q')",E
304,"('B', 'E', 'F', 'M')",F
305,"('L', 'M')",M
306,"('A', 'H', 'M', 'P')",A
307,"('H', 'J', 'N')",J
308,"('B', 'D', 'G', 'H')",B
309,"('A', 'L')",A
310,"('F', 'M', 'P')",F
311,"('E', 'J', 'M', 'Q')",E
312,"('B', 'J', 'L')",B
313,"('N', 'O', 'P')",N
314,"('G', 'H', 'I')",G
315,"('E', 'I', 'L')",L
316,"('E', 'K')",E
317,"('A', 'D', 'O')",D
318,"('D', 'L', 'O', 'P')",O
319,"('B', 'E', 'K')",K
320,"('A', 'O')",A
321,"('E', 'P')",P
322,"('C', 'L')",L
323,"('L', 'M', 'N')",M
324,"('C', 'I')",C
325,"('E', 'H', 'M')",M
326,"('D', 'E', 'H', 'K')",E
327,"('G', 'L', 'O', 'Q')",G
328,"('K', 'P')",K
329,"('F', 'J', 'L', 'O')",J
330,"('B', 'N')",B
331,"('F', 'G', 'J', 'M')",G
332,"('D', 'I')",D
333,"('E', 'N')",N
334,"('M', 'Q')",M
335,"('C', 'F', 'J', 'P')",C
336,"('C', 'E', 'F')",C
337,"('B', 'F', 'K', 'Q')",F
338,"('C', 'P')",C
339,"('A', 'O', 'Q')",A
340,"('E', 'H')",E
341,"('C', 'F')",F
342,"('K', 'P', 'Q')",K
343,"('F', 'H', 'K', 'O')",F
344,"('G', 'J', 'L')",G
345,"('G', 'J')",G
346,"('B', 'J')",B
347,"('A', 'B', 'G', 'H')",G
348,"('C', 'G', 'M')",C
349,"('D', 'E', 'G', 'L')",E
350,"('L', 'M')",M
351,"('A', 'F')",F
352,"('D', 'H', 'I', 'Q')",I
353,"('A', 'B', 'C')",C
354,"('P', 'Q')",Q
355,"('A', 'M')",M
356,"('C', 'D')",D
357,"('K', 'N')",N
358,"('H', 'L', 'N')",N
359,"('M', 'O')",M
360,"('B', 'L')",B
361,"('J', 'L')",L
362,"('E', 'N')",N
363,"('L', 'M', 'N')",M
364,"('M', 'P')",M
365,"('D', 'E')",E
366,"('C', 'I')",I
367,"('B', 'C', 'L')",L
368,"('L', 'N', 'O', 'Q')",Q
369,"('E', 'F', 'P')",F
370,"('D', 'J', 'O')",O
371,"('C', 'K', 'Q')",K
372,"('I', 'L')",I
373,"('B', 'Q')",B
374,"('D', 'K')",D
375,"('C', 'E')",E
376,"('B', 'C', 'E', 'L')",L
377,"('A', 'O', 'Q')",A
378,"('G', 'K', 'N')",G
379,"('A', 'B', 'F', 'Q')",F
380,"('C', 'D', 'J', 'M')",D
381,"('H', 'J', 'M')",J
382,"('E', 'K', 'L', 'M')",E
383,"('F', 'G')",F
384,"('C', 'M')",M
385,"('D', 'E', 'F', 'O')",O
386,"('B', 'M')",B
387,"('C', 'H', 'L', 'O')",C
388,"('D', 'L', 'M', 'O')",D
389,"('A', 'I', 'L')",A
390,"('D', 'F', 'I', 'O')",F
391,"('B', 'D', 'E')",B
392,"('A', 'G')",A
393,"('C', 'D', 'L', 'N')",D
394,"('H', 'K', 'M')",M
395,"('A', 'H', 'P')",A
396,"('A', 'G', 'M')",A
397,"('A', 'I', 'L', 'M')",I
398,"('M', 'Q')",M
399,"('J', 'L')",L
400,"('I', 'J', 'P', 'Q')",I
401,"('J', 'K')",K
402,"('L', 'M')",L
403,"('D', 'E', 'J')",E
404,"('G', 'H')",G
405,"('H', 'I')",H
406,"('L', 'P')",L
407,"('C', 'L', 'N')",C
408,"('A', 'C', 'I', 'L')",I
409,"('C', 'F', 'H')",F
410,"('E', 'I', 'O', 'Q')",E
411,"('F', 'I', 'P')",I
412,"('G', 'H')",G
413,"('E', 'O')",E
414,"('F', 'Q')",F
415,"('A', 'M')",A
416,"('F', 'K')",K
417,"('F', 'J', 'P')",F
418,"('F', 'I', 'P')",F
419,"('C', 'O')",C
420,"('D', 'I', 'J', 'Q')",J
421,"('B', 'E', 'F', 'N')",E
422,"('H', 'I')",I
423,"('A', 'D', 'N')",A
424,"('C', 'F', 'M')",M
425,"('C', 'F', 'H', 'I')",C
426,"('A', 'B', 'Q')",A
427,"('G', 'I', 'P')",P
428,"('D', 'H', 'Q')",D
429,"('F', 'H', 'O', 'P')",H
430,"('A', 'D', 'L')",D
431,"('A', 'H', 'J', 'N')",N
432,"('K', 'M')",M
433,"('I', 'K', 'O')",O
434,"('A', 'N')",N
435,"('F', 'L')",L
436,"('D', 'K')",D
437,"('K', 'L', 'P')",K
438,"('G', 'H')",G
439,"('C', 'F', 'P')",C
440,"('C', 'L', 'N')",L
441,"('F', 'J', 'K')",K
442,"('H', 'I')",I
443,"('H', 'K', 'O')",H
444,"('B', 'C', 'D', 'M')",D
445,"('G', 'H', 'L')",G
446,"('E', 'O')",E
447,"('F', 'I', 'M', 'O')",F
448,"('A', 'K', 'O', 'P')",A
449,"('A', 'B', 'E', 'H')",E
450,"('M', 'N', 'O')",N
451,"('D', 'E', 'H', 'J')",D
452,"('A', 'I', 'J', 'L')",I
453,"('D', 'M')",D
454,"('A', 'H', 'L', 'O')",L
455,"('B', 'I', 'O', 'P')",O
456,"('A', 'G', 'H', 'K')",A
457,"('E', 'G', 'P', 'Q')",E
458,"('C', 'G')",G
459,"('D', 'F', 'M', 'Q')",D
460,"('E', 'I', 'K', 'O')",I
461,"('D', 'G', 'K')",D
462,"('E', 'I', 'L')",L
463,"('D', 'J', 'Q')",J
464,"('H', 'P', 'Q')",H
465,"('D', 'H', 'N')",H
466,"('A', 'E', 'I')",E
467,"('D', 'G')",G
468,"('J', 'O', 'P')",O
469,"('I', 'N')",I
470,"('N', 'Q')",N
471,"('C', 'H', 'K')",C
472,"('E', 'K')",K
473,"('E', 'F', 'K')",K
474,"('A', 'B', 'P')",P
475,"('J', 'M', 'N', 'Q')",N
476,"('C', 'E', 'K')",K
477,"('B', 'I', 'M', 'N')",B
478,"('E', 'P')",E
479,"('B', 'G', 'J', 'M')",M
480,"('D', 'F', 'H', 'K')",H
481,"('D', 'L', 'O', 'P')",D
482,"('L', 'M', 'P')",P
483,"('B', 'C', 'I', 'J')",J
484,"('C', 'H', 'I')",C
485,"('B', 'E', 'G', 'N')",B
486,"('A', 'G', 'L')",L
487,"('A', 'G', 'H', 'J')",J
488,"('A', 'B', 'P')",A
489,"('C', 'H', 'M', 'Q')",Q
490,"('B', 'E', 'M', 'P')",M
491,"('G', 'L', 'O')",O
492,"('N', 'P', 'Q')",N
493,"('D', 'L', 'P', 'Q')",L
494,"('O', 'P', 'Q')",O
495,"('B', 'K', 'O')",K
496,"('G', 'H', 'L')",G
497,"('D', 'N', 'O')",D
498,"('J', 'Q')",J
499,"('G', 'H', 'Q')",Q
500,"('B', 'G', 'I', 'M')",M
501,"('B', 'N', 'Q')",B
502,"('E', 'N')",E
503,"('E', 'Q')",E
504,"('F', 'G')",G
505,"('A', 'M')",A
506,"('B', 'J', 'P', 'Q')",Q
507,"('E', 'M', 'P')",E
508,"('B', 'F', 'J', 'L')",J
509,"('E', 'G', 'K')",K
510,"('B', 'G', 'M')",G
511,"('B', 'N', 'P')",N
512,"('D', 'M', 'Q')",D
513,"('B', 'G', 'M', 'P')",B
514,"('D', 'L', 'O')",D
515,"('G', 'H', 'K')",K
516,"('B', 'F', 'G')",G
517,"('D', 'I', 'J', 'K')",D
518,"('A', 'D', 'E')",D
519,"('A', 'B', 'G', 'O')",O
520,"('K', 'L', 'P')",K
521,"('D', 'F', 'K', 'M')",M
522,"('B', 'I', 'J')",I
523,"('A', 'F', 'Q')",A
524,"('A', 'E', 'N', 'O')",N
525,"('D', 'I')",D
526,"('G', 'J', 'K')",G
527,"('D', 'L', 'N')",D
528,"('E', 'F', 'H', 'M')",M
529,"('G', 'H', 'J')",J
530,"('C', 'M', 'N')",M
531,"('B', 'M')",M
532,"('H', 'L')",H
533,"('D', 'J', 'O')",J
534,"('D', 'L', 'N')",D
535,"('H', 'J', 'M')",M
536,"('B', 'K', 'Q')",K
537,"('H', 'P')",H
538,"('C', 'D', 'G')",D
539,"('G', 'J', 'Q')",J
540,"('H', 'K', 'N')",K
541,"('E', 'M', 'O')",M
542,"('G', 'H', 'K', 'Q')",G
543,"('G', 'I', 'O')",O
544,"('D', 'I')",D
545,"('B', 'E', 'H', 'Q')",E
546,"('A', 'C', 'L', 'N')",C
547,"('H', 'I', 'L', 'O')",L
548,"('C', 'D', 'E', 'O')",O
549,"('E', 'G', 'K')",K
550,"('G', 'J', 'M')",M
551,"('C', 'J', 'M')",C
552,"('C', 'H', 'K')",H
553,"('A', 'K', 'L', 'Q')",K
554,"('D', 'F', 'K', 'O')",O
555,"('A', 'F', 'H')",A
556,"('C', 'D', 'Q')",D
557,"('B', 'D', 'K', 'L')",L
558,"('G', 'K', 'N')",G
559,"('A', 'G')",A
560,"('A', 'E', 'L', 'O')",E
561,"('A', 'D', 'I')",A
562,"('A', 'B', 'C', 'D')",A
563,"('B', 'L', 'M', 'O')",B
564,"('D', 'I', 'N')",D
565,"('E', 'G', 'J', 'M')",J
566,"('B', 'K', 'N', 'Q')",N
567,"('G', 'N', 'P')",N
568,"('B', 'F', 'H')",F
569,"('A', 'C', 'D', 'N')",D
570,"('A', 'C', 'F', 'G')",A
571,"('C', 'D', 'J')",J
572,"('I', 'M')",I
573,"('D', 'H', 'I')",D
574,"('D', 'G', 'O', 'Q')",D
575,"('D', 'F')",F
576,"('B', 'F', 'G', 'P')",F
577,"('J', 'N')",J
578,"('B', 'H', 'I')",B
579,"('A', 'B', 'F', 'L')",F
580,"('M', 'O')",M
581,"('F', 'L', 'M', 'P')",P
582,"('C', 'M')",C
583,"('C', 'J', 'Q')",C
584,"('A', 'C', 'J', 'M')",J
585,"('D', 'E', 'N')",D
586,"('F', 'O')",O
587,"('D', 'I', 'K', 'M')",M
588,"('A', 'I', 'M', 'O')",O
589,"('B', 'L', 'N', 'P')",B
590,"('D', 'E', 'K', 'N')",E
591,"('I', 'J', 'L')",L
592,"('C', 'E', 'J')",C
593,"('L', 'O')",O
594,"('K', 'P', 'Q')",K
595,"('H', 'L')",H
596,"('A', 'F', 'J', 'M')",A
597,"('I', 'M')",M
598,"('E', 'I', 'M', 'Q')",E
599,"('H', 'O')",O
600,"('A', 'E', 'J')",J
601,"('D', 'N', 'O')",D
602,"('H', 'O')",O
603,"('F', 'G', 'K', 'Q')",F
604,"('I', 'M')",I
605,"('M', 'N', 'P')",M
606,"('B', 'H')",H
607,"('D', 'G', 'I', 'J')",J
608,"('D', 'H', 'O', 'Q')",O
609,"('A', 'C', 'N')",C
610,"('C', 'F', 'G')",F
611,"('A', 'I', 'J', 'K')",J
612,"('C', 'G', 'Q')",C
613,"('C', 'I')",C
614,"('I', 'K', 'M', 'P')",M
615,"('D', 'E', 'G', 'Q')",Q
616,"('I', 'N')",N
617,"('B', 'Q')",B
618,"('F', 'G', 'I', 'L')",L
619,"('A', 'H', 'K', 'O')",K
620,"('F', 'L', 'M')",F
621,"('H', 'O')",O
622,"('K', 'Q')",K
623,"('B', 'L', 'M', 'O')",O
624,"('B', 'D', 'I', 'M')",M
625,"('F', 'I', 'J', 'Q')",J
626,"('A', 'C', 'G', 'Q')",G
627,"('N', 'O', 'P')",N
628,"('B', 'N', 'O')",B
629,"('B', 'H')",H
630,"('A', 'E', 'N')",N
631,"('J', 'L', 'N', 'P')",N
632,"('A', 'C', 'N')",N
633,"('C', 'D', 'J', 'L')",D
634,"('A', 'K', 'N')",K
635,"('B', 'J', 'N', 'P')",N
636,"('J', 'P')",J
637,"('F', 'L')",F
638,"('A', 'B', 'Q')",A
639,"('F', 'I', 'N')",N
640,"('D', 'I', 'M')",D
641,"('G', 'J', 'K', 'Q')",K
642,"('E', 'M')",E
643,"('B', 'D', 'N', 'P')",N
644,"('A', 'C', 'D', 'J')",A
645,"('E', 'F', 'I', 'M')",E
646,"('C', 'D', 'O', 'Q')",O
647,"('H', 'O', 'P')",H
648,"('D', 'G', 'I', 'J')",D
649,"('F', 'G', 'I')",F
650,"('B', 'E', 'M', 'O')",E
651,"('E', 'P')",E
652,"('I', 'K', 'P', 'Q')",K
653,"('E', 'J', 'O')",O
654,"('B', 'E', 'G', 'L')",B
655,"('B', 'H')",B
656,"('D', 'J', 'N')",J
657,"('J', 'P')",J
658,"('B', 'L', 'O', 'P')",B
659,"('A', 'K', 'O', 'P')",K
660,"('D', 'J', 'M', 'O')",D
661,"('L', 'O', 'P')",O
662,"('E', 'H', 'J')",E
663,"('F', 'I', 'K', 'L')",F
664,"('F', 'G', 'M')",F
665,"('K', 'N', 'Q')",N
666,"('G', 'N')",G
667,"('A', 'E', 'F')",F
668,"('E', 'I', 'L', 'M')",M
669,"('F', 'M')",F
670,"('A', 'I', 'M')",I
671,"('I', 'M', 'P')",M
672,"('A', 'H', 'M', 'O')",A
673,"('E', 'M')",E
674,"('D', 'F')",F
675,"('B', 'E', 'L', 'Q')",E
676,"('L', 'N')",L
677,"('G', 'L', 'O')",G
678,"('B', 'E')",E
679,"('C', 'K', 'L')",C
680,"('D', 'M', 'P')",P
681,"('G', 'M', 'Q')",Q
682,"('D', 'H', 'M', 'Q')",D
683,"('F', 'L', 'P')",F
684,"('H', 'N')",N
685,"('H', 'I')",H
686,"('B', 'E', 'L')",B
687,"('E', 'G', 'N', 'Q')",Q
688,"('B', 'H', 'P')",B
689,"('A', 'N', 'O')",N
690,"('B', 'E', 'Q')",B
691,"('B', 'G', 'M', 'O')",M
692,"('H', 'K', 'N')",N
693,"('F', 'H', 'I')",F
694,"('E', 'F')",E
695,"('C', 'K', 'N', 'Q')",K
696,"('A', 'B', 'N')",A
697,"('N', 'O', 'P')",N
698,"('D', 'P')",D
699,"('E', 'O')",E
700,"('B', 'F')",F
701,"('A', 'B', 'I', 'Q')",A
702,"('D', 'F', 'H')",H
703,"('C', 'L', 'Q')",C
704,"('G', 'J', 'L', 'Q')",J
705,"('C', 'D', 'F', 'O')",F
706,"('C', 'E', 'M', 'O')",E
707,"('B', 'O')",O
708,"('E', 'Q')",E
709,"('A', 'I', 'Q')",Q
710,"('A', 'L', 'O', 'P')",A
711,"('C', 'G', 'P')",G
712,"('E', 'K', 'M')",K
713,"('B', 'N', 'P')",P
714,"('F', 'I', 'N')",F
715,"('B', 'L', 'M', 'P')",M
716,"('D', 'G', 'M', 'O')",O
717,"('H', 'K', 'Q')",K
718,"('C', 'G', 'I', 'P')",C
719,"('F', 'H')",H
720,"('D', 'F', 'H')",F
721,"('D', 'I')",I
722,"('D', 'O')",D
723,"('F', 'G', 'K', 'L')",L
724,"('J', 'K', 'M')",K
725,"('N', 'O', 'P')",P
726,"('A', 'B')",A
727,"('I', 'M')",I
728,"('M', 'N', 'O')",O
729,"('I', 'K', 'M')",M
730,"('C', 'H', 'K')",K
731,"('D', 'F')",F
732,"('G', 'I', 'M')",M
733,"('C', 'O')",C
734,"('D', 'E', 'K', 'Q')",E
735,"('H', 'O', 'P')",H
736,"('B', 'D', 'L', 'M')",D
737,"('B', 'G')",B
738,"('F', 'J')",F
739,"('A', 'H')",H
740,"('A', 'E', 'M')",E
741,"('E', 'H', 'J', 'N')",J
742,"('C', 'J', 'N')",C
743,"('A', 'E', 'O', 'P')",E
744,"('C', 'L', 'N')",L
745,"('F', 'I', 'O')",O
746,"('C', 'E', 'K', 'M')",E
747,"('C', 'D', 'N', 'Q')",D
748,"('D', 'I')",D
749,"('I', 'N')",N
750,"('E', 'L')",E
751,"('B', 'J', 'K')",J
752,"('B', 'I')",B
753,"('F', 'K', 'P')",K
754,"('G', 'H', 'O', 'Q')",O
755,"('J', 'O')",J
756,"('E', 'Q')",E
757,"('D', 'O', 'Q')",D
758,"('A', 'D', 'Q')",D
759,"('G', 'I', 'N')",N
760,"('C', 'H', 'N', 'P')",C
761,"('D', 'G', 'O')",D
762,"('D', 'M')",D
763,"('C', 'G')",G
764,"('C', 'F', 'G', 'P')",C
765,"('F', 'L', 'M')",L
766,"('B', 'M')",B
767,"('E', 'I', 'O')",E
768,"('B', 'F')",B
769,"('A', 'C', 'N', 'Q')",Q
770,"('C', 'D', 'G', 'H')",D
771,"('B', 'H', 'P')",B
772,"('G', 'I', 'K', 'Q')",I
773,"('D', 'L', 'P')",P
774,"('J', 'P', 'Q')",J
775,"('C', 'J')",J
776,"('A', 'B')",A
777,"('B', 'G', 'I', 'L')",L
778,"('E', 'H')",H
779,"('H', 'L', 'O')",H
780,"('C', 'M', 'O', 'Q')",C
781,"('E', 'I', 'J')",J
782,"('A', 'H', 'O')",A
783,"('B', 'I', 'L', 'M')",I
784,"('G', 'I', 'J')",J
785,"('J', 'M')",M
786,"('H', 'L', 'M', 'P')",M
787,"('E', 'F', 'I', 'P')",E
788,"('K', 'P', 'Q')",K
789,"('C', 'O')",C
790,"('D', 'F', 'H', 'O')",F
791,"('D', 'L', 'P')",L
792,"('D', 'H')",D
793,"('D', 'E', 'L', 'N')",L
794,"('H', 'L', 'N')",L
795,"('D', 'E', 'N')",E
796,"('B', 'D', 'H', 'Q')",B
797,"('A', 'D', 'J', 'K')",D
798,"('O', 'Q')",O
799,"('B', 'H', 'N', 'P')",N
800,"('A', 'E')",E
801,"('C', 'P')",P
802,"('D', 'F')",D
803,"('I', 'J', 'O')",I
804,"('H', 'I')",H
805,"('B', 'C', 'H')",C
806,"('K', 'M')",M
807,"('E', 'G', 'I')",E
808,"('A', 'B', 'K', 'Q')",A
809,"('C', 'H', 'Q')",C
810,"('A', 'F', 'Q')",F
811,"('D', 'L', 'M', 'Q')",D
