,choice_set,choice
64,"('A', 'B', 'C')",C
65,"('A', 'C', 'D', 'E')",D
66,"('A', 'C')",C
67,"('A', 'B', 'D', 'E')",B
68,"('A', 'B', 'C', 'D', 'E')",C
69,"('C', 'D')",C
70,"('A', 'B', 'C', 'D', 'E')",E
71,"('B', 'C', 'E')",C
72,"('A', 'B', 'C', 'D', 'E')",A
73,"('B', 'C')",B
74,"('A', 'C', 'D', 'E')",D
75,"('A', 'B', 'D', 'E')",E
76,"('A', 'C', 'E')",E
77,"('A', 'D', 'E')",A
78,"('B', 'D')",D
79,"('B', 'E')",E
80,"('A', 'B', 'D')",D
81,"('A', 'B', 'E')",E
82,"('D', 'E')",E
83,"('B', 'C', 'D')",D
84,"('A', 'B', 'C', 'D')",C
85,"('A', 'B', 'C', 'E')",A
86,"('A', 'B', 'D', 'E')",E
87,"('A', 'B', 'C', 'D', 'E')",E
88,"('A', 'C', 'D', 'E')",E
89,"('A', 'B', 'C', 'D', 'E')",D
90,"('B', 'D')",D
91,"('A', 'B', 'C', 'D', 'E')",E
92,"('A', 'E')",E
93,"('A', 'B', 'C', 'E')",E
94,"('A', 'C')",C
95,"('A', 'D', 'E')",E
96,"('A', 'C')",A
97,"('B', 'D', 'E')",B
98,"('A', 'C', 'E')",C
99,"('C', 'D', 'E')",E
100,"('A', 'B', 'C', 'D', 'E')",E
101,"('C', 'D')",D
102,"('A', 'B', 'C', 'D', 'E')",A
103,"('A', 'C')",C
104,"('A', 'C', 'D')",D
105,"('A', 'D')",D
106,"('A', 'B', 'C', 'D', 'E')",E
107,"('A', 'B', 'C', 'D', 'E')",D
108,"('A', 'B')",B
109,"('A', 'C', 'D', 'E')",E
110,"('A', 'C', 'D', 'E')",E
111,"('A', 'B', 'D', 'E')",A
112,"('A', 'B', 'C', 'D', 'E')",E
113,"('B', 'D')",D
114,"('A', 'B', 'C', 'D')",D
115,"('A', 'B', 'C', 'D', 'E')",D
116,"('B', 'C', 'D', 'E')",E
117,"('A', 'D')",D
118,"('A', 'B', 'C', 'D', 'E')",D
119,"('A', 'B', 'D')",B
120,"('A', 'B', 'C', 'D', 'E')",E
121,"('A', 'B', 'C', 'D', 'E')",C
122,"('A', 'E')",A
123,"('B', 'C', 'D')",D
124,"('A', 'C', 'D')",C
125,"('A', 'B', 'C', 'E')",E
126,"('A', 'B', 'D', 'E')",E
127,"('A', 'C', 'D', 'E')",C
128,"('A', 'B', 'D')",B
129,"('A', 'B')",B
130,"('A', 'B', 'C', 'E')",C
131,"('A', 'B', 'C', 'D', 'E')",E
132,"('A', 'D', 'E')",D
133,"('A', 'C', 'D', 'E')",D
134,"('A', 'B', 'D')",B
135,"('A', 'C', 'D')",D
136,"('A', 'B', 'C', 'D', 'E')",D
137,"('C', 'E')",E
138,"('A', 'B', 'C', 'D', 'E')",E
139,"('A', 'B', 'C', 'D', 'E')",B
140,"('A', 'B', 'C', 'E')",C
141,"('A', 'B', 'E')",E
142,"('B', 'D', 'E')",E
143,"('A', 'B')",A
144,"('A', 'B', 'C', 'D', 'E')",A
145,"('B', 'C', 'E')",C
146,"('B', 'D')",D
147,"('B', 'D', 'E')",E
148,"('A', 'C', 'D')",C
149,"('B', 'C')",C
150,"('A', 'B', 'C')",B
151,"('A', 'B', 'C', 'D', 'E')",B
152,"('A', 'B', 'C', 'D', 'E')",E
153,"('B', 'C', 'D', 'E')",E
154,"('B', 'C', 'E')",E
155,"('A', 'C', 'D', 'E')",E
156,"('A', 'B', 'D', 'E')",B
157,"('A', 'C', 'D')",D
158,"('A', 'C')",A
159,"('A', 'B', 'C', 'E')",C
160,"('A', 'B', 'C', 'E')",A
161,"('A', 'B', 'C', 'D', 'E')",E
162,"('B', 'D')",D
163,"('A', 'C', 'E')",E
164,"('A', 'B', 'E')",A
165,"('A', 'B', 'C', 'D')",D
166,"('A', 'B', 'C', 'D', 'E')",D
167,"('C', 'D', 'E')",E
168,"('A', 'B', 'C', 'D', 'E')",E
169,"('B', 'C', 'D')",B
170,"('B', 'D')",D
171,"('A', 'B', 'C', 'D', 'E')",D
172,"('A', 'B', 'C', 'D', 'E')",E
173,"('A', 'B', 'C', 'D')",D
174,"('B', 'E')",B
175,"('A', 'B', 'C', 'E')",A
176,"('A', 'B', 'D', 'E')",D
177,"('C', 'E')",E
178,"('C', 'E')",E
179,"('B', 'C', 'D', 'E')",E
180,"('A', 'B', 'C', 'D', 'E')",E
181,"('A', 'B', 'C')",C
182,"('C', 'E')",E
183,"('A', 'B', 'C', 'D', 'E')",E
184,"('A', 'B', 'C', 'D', 'E')",B
185,"('B', 'E')",B
186,"('A', 'B', 'C', 'D', 'E')",A
187,"('A', 'C', 'D')",C
188,"('A', 'E')",A
189,"('A', 'B', 'C', 'D', 'E')",E
190,"('A', 'B', 'C', 'D', 'E')",E
191,"('A', 'C')",C
192,"('B', 'C', 'D', 'E')",D
193,"('B', 'C', 'D', 'E')",D
194,"('A', 'B', 'C')",A
195,"('A', 'C', 'D', 'E')",E
196,"('A', 'C', 'D')",D
197,"('A', 'C', 'E')",C
198,"('A', 'B', 'D')",A
199,"('A', 'D', 'E')",A
200,"('C', 'D')",C
201,"('A', 'B', 'D', 'E')",B
202,"('A', 'B', 'C', 'D', 'E')",E
203,"('A', 'B', 'C', 'E')",E
204,"('A', 'B')",B
205,"('A', 'C', 'D')",D
206,"('A', 'B', 'C', 'E')",E
207,"('C', 'D', 'E')",E
208,"('B', 'C', 'D', 'E')",E
209,"('A', 'B', 'C', 'D', 'E')",D
210,"('B', 'C', 'D', 'E')",D
211,"('A', 'E')",A
212,"('B', 'D', 'E')",B
213,"('B', 'E')",B
214,"('C', 'D')",C
215,"('B', 'C', 'D')",D
216,"('B', 'C', 'E')",E
217,"('B', 'C', 'D', 'E')",E
218,"('A', 'C', 'D', 'E')",E
219,"('A', 'C', 'D')",C
220,"('A', 'D', 'E')",D
221,"('A', 'B', 'C', 'D', 'E')",E
222,"('A', 'B', 'C', 'D', 'E')",D
223,"('A', 'B', 'C', 'D', 'E')",B
224,"('A', 'C', 'D', 'E')",C
225,"('A', 'B', 'C', 'E')",E
226,"('B', 'C')",C
227,"('C', 'E')",C
228,"('A', 'B', 'C', 'D')",A
229,"('B', 'C', 'D', 'E')",D
230,"('A', 'B', 'D', 'E')",D
231,"('A', 'C', 'E')",C
232,"('A', 'B', 'C', 'E')",C
233,"('A', 'B', 'C', 'D', 'E')",E
234,"('C', 'D')",D
235,"('B', 'D', 'E')",D
236,"('D', 'E')",E
237,"('B', 'E')",E
238,"('A', 'B', 'C', 'E')",A
239,"('A', 'C', 'D', 'E')",E
240,"('C', 'D', 'E')",E
241,"('B', 'D')",D
242,"('A', 'B', 'D', 'E')",E
243,"('A', 'E')",A
244,"('C', 'E')",E
245,"('A', 'C', 'D', 'E')",D
246,"('B', 'D', 'E')",B
247,"('B', 'C', 'D')",D
248,"('A', 'C', 'D', 'E')",C
249,"('B', 'D', 'E')",D
250,"('A', 'B')",B
251,"('A', 'B', 'C', 'D', 'E')",E
252,"('A', 'D')",A
253,"('B', 'E')",B
254,"('C', 'D', 'E')",E
255,"('A', 'C', 'D')",C
256,"('A', 'C', 'D')",C
257,"('A', 'B', 'C', 'D', 'E')",E
258,"('A', 'B', 'C', 'D', 'E')",D
259,"('B', 'D', 'E')",E
260,"('A', 'B', 'D', 'E')",A
261,"('A', 'B', 'C', 'D')",D
262,"('C', 'D', 'E')",D
263,"('A', 'B', 'D', 'E')",D
264,"('A', 'B')",B
265,"('A', 'B', 'D', 'E')",B
266,"('A', 'B', 'C', 'D')",D
267,"('A', 'B', 'C', 'D', 'E')",B
268,"('B', 'C', 'D', 'E')",E
269,"('A', 'C', 'D', 'E')",E
270,"('A', 'D', 'E')",A
271,"('A', 'B', 'C', 'D', 'E')",D
272,"('A', 'B', 'C')",A
273,"('A', 'B', 'C', 'E')",C
274,"('B', 'C', 'D')",D
275,"('A', 'B', 'C', 'D', 'E')",A
276,"('A', 'B', 'C', 'D', 'E')",A
277,"('A', 'B', 'C', 'E')",E
278,"('A', 'B', 'C', 'D')",D
279,"('B', 'C', 'D')",C
280,"('A', 'B', 'C', 'D')",C
281,"('A', 'B', 'D')",D
282,"('A', 'B', 'C', 'D', 'E')",D
283,"('A', 'B', 'C', 'D', 'E')",E
284,"('A', 'B')",A
285,"('A', 'B', 'D', 'E')",E
286,"('B', 'E')",B
287,"('B', 'C')",C
288,"('A', 'B', 'C', 'D', 'E')",D
289,"('A', 'B', 'C', 'D', 'E')",C
290,"('A', 'B', 'C', 'D', 'E')",E
291,"('B', 'C')",C
292,"('A', 'B', 'D', 'E')",D
293,"('A', 'B', 'C', 'D')",D
294,"('D', 'E')",D
295,"('A', 'B', 'C', 'E')",A
296,"('A', 'D', 'E')",E
297,"('A', 'B', 'C', 'D')",D
298,"('A', 'B', 'C', 'D', 'E')",E
299,"('A', 'B', 'C', 'D', 'E')",B
300,"('B', 'C', 'E')",C
301,"('A', 'B', 'C', 'D', 'E')",E
302,"('A', 'B', 'C', 'D', 'E')",E
303,"('B', 'C', 'E')",E
304,"('D', 'E')",E
305,"('A', 'C', 'D', 'E')",D
306,"('A', 'C', 'E')",E
307,"('A', 'B', 'C', 'D', 'E')",E
308,"('B', 'C')",C
309,"('A', 'B', 'C', 'E')",E
310,"('A', 'B', 'C', 'D', 'E')",E
311,"('B', 'C', 'E')",E
312,"('A', 'B', 'C', 'D', 'E')",A
313,"('B', 'D', 'E')",B
314,"('A', 'D', 'E')",E
315,"('B', 'C')",C
316,"('A', 'C', 'D')",D
317,"('A', 'B', 'C', 'D')",D
318,"('A', 'B', 'D')",B
319,"('A', 'C', 'D')",D
320,"('A', 'B', 'C', 'E')",E
321,"('A', 'B', 'C', 'E')",E
322,"('A', 'B', 'C', 'D', 'E')",A
323,"('A', 'B', 'C', 'D', 'E')",C
324,"('B', 'C', 'D')",C
325,"('A', 'B', 'D', 'E')",D
326,"('A', 'B', 'C', 'D', 'E')",E
327,"('A', 'B', 'C', 'D', 'E')",A
328,"('A', 'B', 'C', 'E')",C
329,"('A', 'B', 'D', 'E')",D
330,"('A', 'B', 'D', 'E')",E
331,"('C', 'D')",D
332,"('C', 'E')",C
333,"('B', 'C', 'D', 'E')",C
334,"('B', 'E')",E
335,"('A', 'B', 'C', 'D', 'E')",B
336,"('A', 'B', 'C', 'D')",D
337,"('A', 'B', 'C', 'D', 'E')",C
338,"('A', 'B', 'C', 'D', 'E')",E
339,"('C', 'D')",D
340,"('C', 'D', 'E')",E
341,"('B', 'D', 'E')",B
342,"('C', 'D', 'E')",C
343,"('B', 'C', 'D')",D
344,"('A', 'C', 'D')",C
345,"('A', 'B', 'D')",D
346,"('B', 'C', 'D', 'E')",E
347,"('A', 'D', 'E')",E
348,"('A', 'C', 'E')",E
349,"('A', 'D')",D
350,"('B', 'D', 'E')",B
351,"('A', 'C')",A
352,"('A', 'B', 'C', 'D', 'E')",C
353,"('A', 'B', 'C', 'D', 'E')",C
354,"('A', 'B', 'C', 'D', 'E')",D
355,"('B', 'C')",C
356,"('A', 'B', 'C', 'D')",D
357,"('B', 'D')",D
358,"('A', 'B', 'C', 'D', 'E')",C
359,"('A', 'C', 'E')",E
360,"('A', 'B', 'C', 'E')",E
361,"('A', 'B', 'D')",D
362,"('B', 'C', 'D', 'E')",E
363,"('B', 'E')",E
364,"('A', 'B', 'C')",A
365,"('A', 'B', 'D')",D
366,"('B', 'C', 'D', 'E')",C
367,"('A', 'B', 'C', 'D', 'E')",E
368,"('A', 'B', 'C', 'D')",D
369,"('A', 'B', 'C', 'D', 'E')",B
370,"('A', 'B', 'C', 'D', 'E')",C
371,"('C', 'D', 'E')",C
372,"('A', 'B', 'C', 'D', 'E')",E
373,"('A', 'B', 'C', 'D')",D
374,"('B', 'C', 'E')",B
375,"('A', 'C', 'D', 'E')",E
376,"('C', 'E')",C
377,"('B', 'C', 'D', 'E')",B
378,"('A', 'C')",A
379,"('A', 'B', 'C', 'D')",C
380,"('A', 'B', 'C', 'E')",E
381,"('D', 'E')",E
382,"('D', 'E')",D
383,"('A', 'B', 'C', 'D', 'E')",C
384,"('A', 'B', 'C', 'D', 'E')",C
385,"('B', 'C', 'D', 'E')",D
386,"('B', 'C', 'D', 'E')",C
387,"('A', 'C', 'D')",C
388,"('A', 'B', 'C', 'E')",C
389,"('A', 'B', 'C', 'D', 'E')",B
390,"('C', 'E')",C
391,"('A', 'B', 'C')",B
392,"('B', 'C', 'D')",C
393,"('A', 'B', 'C', 'D', 'E')",B
394,"('A', 'B', 'C', 'D', 'E')",C
395,"('B', 'E')",E
396,"('A', 'B', 'C', 'D', 'E')",C
397,"('A', 'B', 'C', 'D', 'E')",B
398,"('A', 'B', 'C', 'E')",C
399,"('B', 'D')",D
400,"('A', 'B', 'C', 'D', 'E')",E
401,"('A', 'C', 'D', 'E')",C
402,"('B', 'E')",B
403,"('A', 'D', 'E')",A
404,"('D', 'E')",E
405,"('A', 'B', 'C', 'D')",D
406,"('D', 'E')",E
407,"('A', 'D')",D
408,"('A', 'B', 'C', 'D', 'E')",E
409,"('D', 'E')",E
410,"('C', 'E')",C
411,"('C', 'D')",C
412,"('A', 'C', 'E')",E
413,"('A', 'B', 'C', 'D', 'E')",C
414,"('A', 'B', 'C', 'D')",D
415,"('C', 'E')",C
416,"('A', 'B', 'C', 'D', 'E')",A
417,"('A', 'B', 'E')",B
418,"('A', 'B')",B
419,"('C', 'D', 'E')",D
420,"('A', 'C')",A
421,"('A', 'B', 'C', 'D', 'E')",B
422,"('A', 'B', 'C', 'D', 'E')",E
423,"('A', 'B')",B
424,"('B', 'C')",B
425,"('A', 'E')",E
426,"('A', 'B', 'C', 'D', 'E')",E
427,"('A', 'D', 'E')",A
428,"('A', 'B', 'C', 'D', 'E')",E
429,"('B', 'C', 'D')",D
430,"('A', 'B', 'C', 'D', 'E')",B
431,"('A', 'C', 'D', 'E')",D
432,"('A', 'B', 'D', 'E')",B
433,"('A', 'B', 'D', 'E')",B
434,"('A', 'C', 'D')",D
435,"('A', 'B', 'C', 'D', 'E')",A
436,"('B', 'C')",C
437,"('B', 'C', 'D', 'E')",C
438,"('A', 'B', 'C', 'D', 'E')",D
439,"('A', 'B', 'C', 'D', 'E')",E
440,"('C', 'D')",D
441,"('C', 'D')",D
442,"('A', 'B', 'D', 'E')",E
443,"('A', 'B', 'D')",D
444,"('A', 'C', 'D')",A
445,"('B', 'D')",B
446,"('A', 'B', 'C', 'D')",D
447,"('A', 'B', 'D', 'E')",B
448,"('A', 'C')",A
449,"('B', 'E')",B
450,"('A', 'B', 'C', 'D', 'E')",E
451,"('A', 'B', 'C', 'E')",E
452,"('A', 'C', 'D', 'E')",A
453,"('C', 'D', 'E')",C
454,"('A', 'B', 'C', 'D', 'E')",E
455,"('B', 'C')",C
456,"('A', 'B', 'C', 'D')",C
457,"('A', 'B', 'C', 'E')",A
458,"('A', 'E')",E
459,"('A', 'D')",D
460,"('A', 'B', 'C', 'D', 'E')",C
461,"('A', 'C', 'D', 'E')",E
462,"('A', 'D')",A
463,"('A', 'B', 'C', 'D', 'E')",E
464,"('A', 'E')",E
465,"('B', 'C', 'D', 'E')",C
466,"('A', 'B', 'C', 'E')",C
467,"('C', 'D', 'E')",D
468,"('A', 'D', 'E')",E
469,"('A', 'B')",A
470,"('A', 'B', 'E')",E
471,"('C', 'E')",E
472,"('A', 'B', 'C', 'D', 'E')",C
473,"('A', 'E')",E
474,"('A', 'B', 'C', 'E')",B
475,"('A', 'B', 'C', 'D', 'E')",E
476,"('B', 'D', 'E')",B
477,"('B', 'E')",E
478,"('A', 'B', 'C', 'D')",D
479,"('A', 'B', 'C', 'D', 'E')",E
480,"('A', 'D')",D
481,"('A', 'E')",A
482,"('A', 'B', 'C', 'D', 'E')",E
483,"('A', 'D', 'E')",E
484,"('B', 'C', 'D', 'E')",E
485,"('A', 'B', 'C', 'E')",E
486,"('B', 'C', 'D', 'E')",C
487,"('A', 'B', 'D')",D
488,"('C', 'D')",C
489,"('A', 'C', 'E')",E
490,"('A', 'B', 'C', 'D', 'E')",A
491,"('A', 'C')",A
492,"('A', 'B', 'C', 'D', 'E')",D
493,"('A', 'B', 'C')",C
494,"('A', 'B', 'E')",E
495,"('A', 'B', 'C', 'D', 'E')",B
496,"('A', 'B', 'C')",C
497,"('A', 'C')",C
498,"('C', 'D')",D
499,"('A', 'B', 'C', 'D')",C
500,"('A', 'B', 'C', 'E')",E
501,"('A', 'B', 'C', 'D', 'E')",E
502,"('A', 'D')",D
503,"('B', 'D')",B
504,"('A', 'B', 'C', 'D', 'E')",E
505,"('A', 'B', 'C', 'E')",E
506,"('A', 'C', 'D')",D
507,"('A', 'B', 'C', 'D', 'E')",E
508,"('A', 'B', 'C', 'D', 'E')",B
509,"('A', 'B', 'C', 'D', 'E')",A
510,"('B', 'E')",B
511,"('B', 'C', 'D')",C
512,"('B', 'E')",B
513,"('A', 'B', 'C', 'D', 'E')",A
514,"('A', 'B', 'C', 'D', 'E')",C
515,"('A', 'B', 'C', 'D', 'E')",E
516,"('A', 'C', 'D', 'E')",A
517,"('C', 'D')",D
518,"('A', 'C', 'D')",A
519,"('C', 'D')",D
520,"('A', 'E')",E
521,"('B', 'C', 'D', 'E')",E
522,"('A', 'B', 'C', 'D', 'E')",D
523,"('C', 'D', 'E')",C
524,"('A', 'B', 'C')",C
525,"('A', 'C', 'D', 'E')",D
526,"('C', 'D')",D
527,"('A', 'B', 'D', 'E')",D
528,"('B', 'C')",C
529,"('A', 'B', 'C', 'D', 'E')",E
530,"('A', 'C', 'D', 'E')",C
531,"('A', 'B', 'C', 'D', 'E')",E
532,"('A', 'B', 'E')",E
533,"('A', 'B', 'C', 'D', 'E')",B
534,"('A', 'B', 'C', 'D', 'E')",E
535,"('C', 'D', 'E')",D
536,"('A', 'C', 'E')",E
537,"('A', 'B', 'C', 'D', 'E')",C
538,"('A', 'B', 'C')",C
539,"('A', 'B', 'D', 'E')",D
540,"('A', 'B', 'C', 'D', 'E')",E
541,"('B', 'C', 'E')",E
542,"('C', 'D', 'E')",E
543,"('A', 'B', 'C', 'E')",E
544,"('A', 'B', 'C', 'D', 'E')",B
545,"('A', 'B', 'D')",A
546,"('A', 'C', 'E')",E
547,"('B', 'C', 'D', 'E')",D
548,"('A', 'B', 'D', 'E')",E
549,"('A', 'C', 'E')",E
550,"('B', 'C', 'D', 'E')",D
551,"('A', 'B', 'C', 'D')",C
552,"('A', 'B', 'C', 'D', 'E')",B
553,"('A', 'B', 'D', 'E')",E
554,"('A', 'B', 'C', 'D', 'E')",A
555,"('A', 'B', 'C', 'D', 'E')",C
556,"('A', 'B', 'C', 'D', 'E')",E
557,"('A', 'E')",E
558,"('A', 'B', 'C', 'D', 'E')",C
559,"('A', 'C', 'D', 'E')",A
560,"('A', 'D')",A
561,"('B', 'C', 'D', 'E')",B
562,"('C', 'D')",C
563,"('A', 'C', 'D', 'E')",C
564,"('A', 'B', 'C')",B
565,"('A', 'B')",A
566,"('A', 'B', 'C', 'D')",C
567,"('A', 'B', 'C', 'D', 'E')",B
568,"('A', 'B', 'C', 'D', 'E')",D
569,"('C', 'D')",D
570,"('A', 'B')",B
571,"('A', 'B', 'C', 'D', 'E')",D
572,"('B', 'E')",E
573,"('B', 'C', 'D', 'E')",E
574,"('B', 'C', 'D')",D
575,"('A', 'B', 'C', 'D', 'E')",E
576,"('A', 'D', 'E')",A
577,"('A', 'D')",A
578,"('A', 'C')",C
579,"('C', 'D')",D
580,"('A', 'C')",C
581,"('A', 'B', 'C', 'D', 'E')",E
582,"('D', 'E')",E
583,"('C', 'D', 'E')",E
584,"('B', 'C')",C
585,"('C', 'D')",D
586,"('A', 'B', 'E')",A
587,"('A', 'E')",E
588,"('A', 'C', 'D', 'E')",E
589,"('B', 'C', 'D')",D
590,"('B', 'C', 'D', 'E')",B
591,"('B', 'D')",B
592,"('A', 'B', 'C', 'D')",C
593,"('D', 'E')",E
594,"('B', 'E')",E
595,"('B', 'C', 'D')",D
596,"('A', 'E')",A
597,"('A', 'B', 'D', 'E')",B
598,"('B', 'D', 'E')",B
599,"('C', 'E')",C
600,"('A', 'B', 'E')",E
601,"('A', 'B', 'C', 'D', 'E')",E
602,"('A', 'D')",A
603,"('A', 'B', 'C', 'D')",B
604,"('A', 'B', 'C', 'D', 'E')",D
605,"('A', 'B', 'C', 'D', 'E')",D
606,"('B', 'C')",B
607,"('A', 'D')",D
608,"('A', 'C', 'D', 'E')",E
609,"('A', 'B', 'C', 'D')",B
610,"('A', 'B', 'C', 'D', 'E')",E
611,"('A', 'C')",A
612,"('A', 'C', 'D')",D
613,"('B', 'D')",D
614,"('A', 'B', 'C', 'D', 'E')",E
615,"('A', 'C', 'E')",E
616,"('A', 'B', 'C')",A
617,"('C', 'D', 'E')",C
618,"('A', 'C', 'D', 'E')",E
619,"('A', 'D')",D
620,"('B', 'E')",B
621,"('B', 'E')",E
622,"('B', 'C', 'D', 'E')",E
623,"('A', 'B', 'C', 'D', 'E')",A
624,"('A', 'B', 'D', 'E')",B
625,"('A', 'B')",B
626,"('A', 'B', 'C', 'D', 'E')",D
627,"('A', 'B', 'E')",B
628,"('B', 'E')",E
629,"('A', 'B', 'C', 'E')",C
630,"('A', 'B', 'C', 'D', 'E')",C
631,"('A', 'C', 'D', 'E')",D
632,"('A', 'B', 'C', 'E')",C
633,"('D', 'E')",E
634,"('A', 'C', 'D', 'E')",C
635,"('A', 'C', 'D')",D
636,"('A', 'E')",E
637,"('A', 'B')",B
638,"('A', 'D', 'E')",A
639,"('A', 'B', 'C', 'E')",C
640,"('A', 'C', 'E')",A
641,"('A', 'C', 'E')",A
642,"('A', 'B', 'C', 'E')",B
643,"('A', 'E')",A
644,"('A', 'B', 'C', 'D')",C
645,"('A', 'C', 'D')",D
646,"('A', 'B', 'D', 'E')",D
647,"('A', 'B', 'D')",D
648,"('A', 'C')",C
649,"('B', 'C')",B
650,"('C', 'E')",E
651,"('A', 'C', 'E')",E
652,"('A', 'B', 'D', 'E')",A
653,"('B', 'D')",D
654,"('A', 'D', 'E')",A
655,"('A', 'B', 'C', 'D', 'E')",B
656,"('A', 'B', 'C', 'D', 'E')",C
657,"('C', 'D', 'E')",E
658,"('A', 'D')",D
659,"('B', 'E')",E
660,"('C', 'E')",E
661,"('A', 'B', 'C', 'D', 'E')",D
662,"('A', 'B', 'C', 'E')",C
663,"('A', 'E')",A
664,"('A', 'B', 'D')",B
665,"('A', 'C')",A
666,"('A', 'D', 'E')",E
667,"('A', 'C', 'D')",D
668,"('A', 'D', 'E')",E
669,"('A', 'E')",E
670,"('A', 'B', 'E')",E
671,"('B', 'D')",B
672,"('A', 'B', 'E')",B
673,"('A', 'B', 'C', 'D')",D
674,"('D', 'E')",D
675,"('A', 'B', 'D')",D
676,"('C', 'D')",C
677,"('C', 'E')",E
678,"('B', 'D', 'E')",E
679,"('C', 'D', 'E')",E
680,"('A', 'B', 'C')",B
681,"('A', 'B', 'C', 'E')",E
682,"('B', 'C')",C
683,"('A', 'B', 'C', 'D', 'E')",E
684,"('A', 'B', 'C', 'D', 'E')",E
685,"('A', 'B', 'C', 'D', 'E')",D
686,"('A', 'B', 'C', 'D', 'E')",E
687,"('B', 'E')",E
688,"('A', 'B', 'C', 'E')",E
689,"('C', 'E')",E
690,"('A', 'B', 'C', 'D', 'E')",E
691,"('B', 'E')",B
692,"('A', 'B', 'C', 'D')",B
693,"('A', 'B', 'C', 'D', 'E')",C
694,"('B', 'C', 'D', 'E')",C
695,"('A', 'C', 'D')",C
696,"('A', 'B', 'C', 'D', 'E')",D
697,"('A', 'D', 'E')",D
698,"('A', 'B', 'C', 'D', 'E')",B
699,"('A', 'B', 'C', 'D', 'E')",B
700,"('A', 'B', 'C')",C
701,"('A', 'B', 'C', 'E')",B
702,"('B', 'C', 'E')",E
703,"('A', 'B', 'D', 'E')",B
704,"('B', 'C')",C
705,"('A', 'B', 'C', 'D')",C
706,"('A', 'B', 'C', 'D', 'E')",B
707,"('B', 'C')",C
708,"('B', 'C', 'E')",E
709,"('B', 'C')",B
710,"('A', 'D')",D
711,"('A', 'B', 'D', 'E')",E
712,"('B', 'C', 'D')",C
713,"('A', 'B', 'C', 'D', 'E')",E
714,"('D', 'E')",D
715,"('A', 'C', 'D', 'E')",C
716,"('A', 'B', 'C', 'D', 'E')",B
717,"('B', 'E')",B
718,"('A', 'B', 'D')",D
719,"('A', 'C', 'D', 'E')",C
720,"('A', 'B', 'C', 'D', 'E')",B
721,"('A', 'B', 'C', 'D', 'E')",E
722,"('A', 'B', 'C', 'D', 'E')",D
723,"('B', 'E')",B
724,"('A', 'B', 'E')",E
725,"('A', 'B', 'C', 'D', 'E')",E
726,"('A', 'B', 'D', 'E')",A
727,"('A', 'C')",C
728,"('B', 'C', 'E')",B
729,"('B', 'C', 'D')",C
730,"('A', 'B', 'C', 'E')",E
731,"('B', 'D', 'E')",B
732,"('A', 'C', 'D')",C
733,"('A', 'C', 'D', 'E')",A
734,"('C', 'E')",E
735,"('C', 'D', 'E')",C
736,"('A', 'B', 'D', 'E')",D
737,"('A', 'E')",A
738,"('A', 'B', 'D', 'E')",D
739,"('B', 'D', 'E')",E
740,"('B', 'D', 'E')",D
741,"('A', 'B', 'C', 'D', 'E')",E
742,"('A', 'B', 'C', 'D', 'E')",D
