,choice_set,choice
318,"('3', '4', '5')",4
319,"('1', '2', '4')",1
320,"('1', '2', '3', '4', '5')",1
321,"('2', '3', '5')",2
322,"('1', '2', '3')",1
323,"('2', '3')",3
324,"('1', '2', '3')",2
325,"('1', '2', '3')",1
326,"('3', '4', '5')",3
327,"('1', '3', '4')",3
328,"('1', '2', '4', '5')",1
329,"('2', '5')",5
330,"('2', '3', '4')",4
331,"('1', '4')",4
332,"('3', '4', '5')",5
333,"('1', '2', '3', '4', '5')",1
334,"('2', '3', '4', '5')",2
335,"('1', '2', '3', '4', '5')",2
336,"('1', '2')",2
337,"('1', '2', '3', '4', '5')",1
338,"('1', '2', '5')",2
339,"('2', '4', '5')",2
340,"('1', '2', '4', '5')",1
341,"('2', '5')",2
342,"('1', '2', '3', '4', '5')",3
343,"('1', '3', '4', '5')",4
344,"('1', '2', '3', '4', '5')",5
345,"('1', '2', '3', '4', '5')",1
346,"('1', '3', '4')",4
347,"('4', '5')",5
348,"('1', '2', '3', '4', '5')",1
349,"('1', '2', '3', '4')",3
350,"('2', '4', '5')",4
351,"('1', '2', '3')",1
352,"('1', '2', '3')",3
353,"('2', '3', '4', '5')",4
354,"('1', '2', '3', '4', '5')",4
355,"('2', '5')",5
356,"('1', '2', '3', '4', '5')",2
357,"('1', '3')",1
358,"('1', '3', '5')",1
359,"('1', '2', '4')",1
360,"('2', '3', '5')",5
361,"('1', '3', '4', '5')",3
362,"('1', '2')",1
363,"('1', '3', '4', '5')",1
364,"('1', '2', '3', '4')",1
365,"('1', '3', '4', '5')",3
366,"('2', '5')",2
367,"('2', '4', '5')",4
368,"('4', '5')",4
369,"('3', '4')",4
370,"('1', '3', '4', '5')",4
371,"('1', '2', '3', '4', '5')",1
372,"('1', '4')",4
373,"('1', '3', '4', '5')",3
374,"('3', '4')",3
375,"('1', '2', '3', '4', '5')",2
376,"('2', '4', '5')",4
377,"('1', '3', '4', '5')",4
378,"('1', '4', '5')",4
379,"('2', '3')",2
380,"('1', '4')",4
381,"('2', '4')",4
382,"('1', '3', '4', '5')",1
383,"('1', '2', '3', '4')",3
384,"('1', '2', '5')",1
385,"('1', '2', '3')",2
386,"('1', '2', '3', '4', '5')",4
387,"('1', '2', '3', '4', '5')",2
388,"('1', '2', '3', '4', '5')",2
389,"('1', '2', '3', '4')",3
390,"('1', '2')",1
391,"('1', '2', '3', '4', '5')",1
392,"('1', '3')",1
393,"('1', '3')",1
394,"('1', '2', '3', '4', '5')",1
395,"('3', '5')",5
396,"('1', '3', '4', '5')",3
397,"('3', '4', '5')",3
398,"('1', '2', '3', '5')",5
399,"('1', '3', '4')",4
400,"('1', '2', '4')",1
401,"('1', '3', '4', '5')",4
402,"('1', '3', '4')",4
403,"('2', '4', '5')",5
404,"('1', '3', '5')",1
405,"('1', '2', '3', '4', '5')",1
406,"('1', '2')",2
407,"('1', '3', '4', '5')",5
408,"('1', '3')",3
409,"('1', '3')",1
410,"('1', '3', '4')",1
411,"('1', '2', '3', '4', '5')",3
412,"('1', '2', '3', '4', '5')",1
413,"('1', '2', '3', '4', '5')",2
414,"('1', '3', '4', '5')",1
415,"('1', '5')",5
416,"('1', '2', '4', '5')",5
417,"('1', '2', '3', '5')",1
418,"('1', '4', '5')",1
419,"('1', '2', '4', '5')",4
420,"('1', '2', '3', '4')",1
421,"('3', '4', '5')",4
422,"('1', '2', '4')",4
423,"('1', '2')",2
424,"('2', '3', '4')",2
425,"('1', '4', '5')",1
426,"('1', '2', '3', '4', '5')",1
427,"('1', '2', '3', '4', '5')",3
428,"('2', '3', '4', '5')",2
429,"('1', '2', '3', '4')",1
430,"('1', '2', '3', '4', '5')",3
431,"('1', '3', '4', '5')",1
432,"('3', '4')",3
433,"('3', '4')",4
434,"('1', '2', '3', '4', '5')",3
435,"('1', '2', '3', '4')",3
436,"('2', '3', '4', '5')",2
437,"('3', '5')",3
438,"('1', '2', '3', '4', '5')",1
439,"('1', '2', '3', '5')",2
440,"('1', '2', '3', '4', '5')",3
441,"('2', '3', '4', '5')",3
442,"('1', '2')",2
443,"('1', '2', '3', '4', '5')",3
444,"('2', '3', '4', '5')",4
445,"('3', '4')",4
446,"('1', '3', '4', '5')",1
447,"('1', '5')",5
448,"('1', '2', '3', '4', '5')",3
449,"('1', '2', '3', '5')",2
450,"('1', '2', '3', '4', '5')",3
451,"('1', '2', '3', '4', '5')",1
452,"('1', '2', '3', '4', '5')",2
453,"('2', '3', '4')",3
454,"('1', '2')",2
455,"('2', '3', '4', '5')",3
456,"('1', '2', '3', '4', '5')",1
457,"('1', '2', '3', '4', '5')",1
458,"('3', '5')",5
459,"('1', '2', '3', '4', '5')",2
460,"('1', '3')",1
461,"('1', '2', '3', '4', '5')",3
462,"('1', '4', '5')",1
463,"('1', '2', '3', '5')",5
464,"('1', '2', '3', '5')",5
465,"('1', '5')",1
466,"('3', '4')",4
467,"('1', '2', '4', '5')",2
468,"('1', '2', '3', '4', '5')",3
469,"('1', '3', '4', '5')",3
470,"('1', '2', '3', '4')",4
471,"('1', '2', '3', '5')",2
472,"('1', '2', '3', '4', '5')",1
473,"('2', '5')",2
474,"('1', '3', '4', '5')",3
475,"('2', '3', '4', '5')",2
476,"('1', '2', '4')",4
477,"('1', '2', '3', '4', '5')",2
478,"('2', '3', '4')",4
479,"('2', '3')",3
480,"('3', '5')",3
481,"('2', '5')",2
482,"('1', '2', '3', '4', '5')",2
483,"('2', '3', '4', '5')",5
484,"('1', '2', '4', '5')",5
485,"('1', '2', '4', '5')",1
486,"('2', '3', '4')",2
487,"('2', '5')",2
488,"('1', '3', '5')",1
489,"('1', '2', '3', '4')",2
490,"('1', '2', '3')",1
491,"('1', '3', '4', '5')",3
492,"('2', '3', '4', '5')",4
493,"('1', '3', '5')",3
494,"('2', '5')",2
495,"('3', '5')",5
496,"('1', '2', '3', '4', '5')",4
497,"('1', '2', '3', '4', '5')",3
498,"('1', '4', '5')",1
499,"('1', '3', '4', '5')",1
500,"('2', '3', '4', '5')",4
501,"('1', '2', '5')",5
502,"('2', '3', '4', '5')",5
503,"('1', '2', '3', '4', '5')",1
504,"('1', '3', '4', '5')",4
505,"('1', '3', '4', '5')",4
506,"('1', '3', '4')",3
507,"('1', '3')",1
508,"('3', '5')",3
509,"('1', '3', '4', '5')",4
510,"('2', '4', '5')",2
511,"('3', '5')",3
512,"('1', '2', '3', '5')",2
513,"('1', '3')",1
514,"('2', '3', '4', '5')",2
515,"('1', '2', '3', '4')",1
516,"('1', '2', '3', '4', '5')",1
517,"('1', '3', '4')",4
518,"('1', '2', '4', '5')",5
519,"('2', '3', '4', '5')",5
520,"('1', '3', '5')",3
521,"('2', '3', '4')",3
522,"('2', '3', '4', '5')",5
523,"('3', '4', '5')",3
524,"('1', '2', '3', '4', '5')",3
525,"('1', '3', '4')",1
526,"('1', '5')",5
527,"('1', '2', '4', '5')",1
528,"('1', '2', '3', '4', '5')",1
529,"('2', '3', '4')",4
530,"('4', '5')",4
531,"('1', '2', '3', '4', '5')",1
532,"('1', '3', '4')",1
533,"('2', '3', '4', '5')",2
534,"('1', '2', '3', '4', '5')",2
535,"('2', '4')",2
536,"('1', '2', '3', '4', '5')",3
537,"('1', '3', '4', '5')",3
538,"('2', '3', '4')",4
539,"('1', '3', '5')",5
540,"('1', '2', '3', '4', '5')",3
541,"('1', '2', '4')",4
542,"('2', '4')",4
543,"('1', '2', '4', '5')",2
544,"('1', '2', '3', '4', '5')",5
545,"('1', '2', '5')",5
546,"('1', '4')",4
547,"('2', '4', '5')",4
548,"('3', '4', '5')",4
549,"('2', '4', '5')",4
550,"('1', '2', '3', '4', '5')",4
551,"('1', '2', '3', '4', '5')",2
552,"('1', '2', '3', '4', '5')",2
553,"('2', '3', '4')",3
554,"('1', '2', '3', '4', '5')",1
555,"('1', '2', '3', '4')",4
556,"('1', '2', '3', '4', '5')",2
557,"('1', '2', '4', '5')",4
558,"('1', '2', '3', '4', '5')",4
559,"('4', '5')",5
560,"('1', '2', '3', '4', '5')",4
561,"('1', '3')",3
562,"('4', '5')",5
563,"('3', '5')",5
564,"('1', '2')",1
565,"('1', '2', '5')",2
566,"('1', '2', '3')",1
567,"('1', '4', '5')",1
568,"('1', '5')",1
569,"('2', '3')",3
570,"('1', '2', '3', '4', '5')",5
571,"('1', '2', '4')",1
572,"('1', '2', '3', '4', '5')",2
573,"('2', '3', '4', '5')",4
574,"('3', '5')",5
575,"('1', '2', '3', '4', '5')",1
576,"('1', '2', '3')",1
577,"('1', '2', '3', '4', '5')",4
578,"('1', '2', '4', '5')",2
579,"('1', '2', '4', '5')",5
580,"('1', '2', '3', '4', '5')",1
581,"('2', '3', '5')",5
582,"('1', '2', '3', '4', '5')",1
583,"('1', '2', '3', '4', '5')",2
584,"('1', '2', '3', '4', '5')",3
585,"('1', '2', '3', '4', '5')",3
586,"('1', '4')",4
587,"('2', '3', '4')",2
588,"('1', '3', '4', '5')",3
589,"('1', '3', '4')",1
590,"('4', '5')",5
591,"('2', '3', '5')",5
592,"('2', '3', '4')",3
593,"('1', '2', '4')",2
594,"('1', '3', '5')",1
595,"('1', '4', '5')",4
596,"('1', '3', '4')",1
597,"('1', '2', '3', '4', '5')",2
598,"('1', '2', '3', '5')",2
599,"('1', '2', '3', '4', '5')",1
600,"('1', '5')",1
601,"('3', '5')",5
602,"('1', '2', '3', '4', '5')",1
603,"('1', '2', '3', '4')",3
604,"('1', '2', '3', '4', '5')",4
605,"('1', '2', '3', '4', '5')",1
606,"('1', '2', '3', '4', '5')",2
607,"('1', '5')",5
608,"('2', '4')",4
609,"('1', '2', '3', '5')",5
610,"('1', '2', '3', '4')",2
611,"('1', '2', '3', '5')",3
612,"('3', '5')",5
613,"('1', '2', '3', '4', '5')",2
614,"('1', '2', '3', '4')",2
615,"('1', '2', '3', '4', '5')",3
616,"('3', '4')",4
617,"('2', '3', '4', '5')",4
618,"('1', '2', '3', '4', '5')",1
619,"('2', '3', '4', '5')",5
620,"('4', '5')",5
621,"('1', '2', '3', '4', '5')",1
622,"('1', '2', '5')",5
623,"('1', '2', '4')",4
624,"('1', '2')",1
625,"('1', '2', '3', '4')",1
626,"('2', '3', '4', '5')",5
627,"('1', '2', '3', '4', '5')",5
628,"('1', '2', '3', '5')",1
629,"('1', '2', '3', '4', '5')",3
630,"('3', '5')",3
631,"('1', '2')",2
632,"('1', '4')",4
633,"('1', '2')",1
634,"('2', '3', '4')",4
635,"('1', '2', '3', '4', '5')",5
636,"('3', '4', '5')",5
637,"('1', '2', '3', '5')",5
638,"('1', '3', '4')",4
639,"('1', '2', '3', '4')",1
640,"('1', '2', '3', '4', '5')",1
641,"('2', '3', '4')",2
642,"('1', '2', '3', '4', '5')",2
643,"('4', '5')",4
644,"('1', '5')",5
645,"('1', '4')",4
646,"('2', '4', '5')",4
647,"('2', '3', '4', '5')",4
648,"('1', '2', '4')",2
649,"('1', '3', '4')",1
650,"('2', '3', '4', '5')",2
651,"('1', '2', '3', '4', '5')",1
652,"('3', '5')",3
653,"('1', '3', '4', '5')",1
654,"('1', '2', '3', '4', '5')",3
655,"('1', '2', '3', '4')",1
656,"('2', '3', '4', '5')",2
657,"('1', '2', '3', '4', '5')",1
658,"('1', '2', '3', '4', '5')",2
659,"('1', '2', '3')",1
660,"('1', '2', '3', '4', '5')",3
661,"('2', '3', '4', '5')",3
662,"('1', '2', '3', '4')",1
663,"('1', '3', '4', '5')",1
664,"('1', '5')",5
665,"('2', '4')",4
666,"('1', '2', '3', '4', '5')",3
667,"('1', '2', '3', '4', '5')",5
668,"('1', '4', '5')",4
669,"('3', '4')",4
670,"('4', '5')",5
671,"('1', '3', '5')",5
672,"('1', '4', '5')",5
673,"('1', '2', '3', '4', '5')",4
674,"('1', '5')",1
675,"('4', '5')",5
676,"('1', '2', '3', '4', '5')",2
677,"('1', '2', '3', '4', '5')",3
678,"('1', '2', '3', '4')",1
679,"('1', '2', '3', '4', '5')",2
680,"('1', '2', '3', '5')",1
681,"('1', '3', '4', '5')",1
682,"('1', '2', '3', '4', '5')",3
683,"('1', '2', '3', '5')",1
684,"('1', '2', '3', '4', '5')",1
685,"('3', '4')",3
686,"('3', '4', '5')",5
687,"('1', '4')",4
688,"('1', '2', '3', '5')",1
689,"('1', '2', '4', '5')",1
690,"('1', '3', '4', '5')",3
691,"('1', '5')",1
692,"('2', '3', '5')",5
693,"('1', '2', '3', '4', '5')",4
694,"('1', '2', '4', '5')",2
695,"('1', '2')",2
696,"('1', '2', '4')",4
697,"('1', '2', '3', '4', '5')",2
698,"('1', '2', '3', '4', '5')",2
699,"('1', '3', '4', '5')",1
700,"('2', '4')",4
701,"('2', '4')",2
702,"('1', '2', '3', '4', '5')",1
703,"('4', '5')",5
704,"('1', '3')",3
705,"('2', '3', '4', '5')",2
706,"('1', '2', '3', '4')",1
707,"('3', '5')",5
708,"('1', '2', '4', '5')",2
709,"('2', '5')",2
710,"('3', '5')",5
711,"('1', '2', '4', '5')",1
712,"('1', '2', '3', '4', '5')",1
713,"('1', '5')",1
714,"('1', '2')",2
715,"('1', '3', '4', '5')",4
716,"('1', '2', '4')",4
717,"('1', '2', '3', '4', '5')",1
718,"('1', '2', '5')",5
719,"('1', '2', '3', '4', '5')",4
720,"('1', '3', '4')",1
721,"('1', '2', '4')",1
722,"('1', '2', '4', '5')",1
723,"('1', '2', '3', '4', '5')",2
724,"('2', '3')",3
725,"('1', '2', '3', '4', '5')",1
726,"('2', '5')",2
727,"('2', '5')",5
728,"('1', '2', '3', '4', '5')",1
729,"('1', '2', '4')",1
730,"('3', '5')",3
731,"('1', '2', '3', '4', '5')",3
732,"('1', '5')",5
733,"('1', '2', '4')",1
734,"('2', '3', '5')",3
735,"('2', '3', '4')",3
736,"('1', '2', '4', '5')",4
737,"('1', '2', '3', '5')",1
738,"('1', '2', '5')",1
739,"('1', '2', '3', '4')",4
740,"('3', '4', '5')",3
741,"('2', '3', '5')",3
742,"('1', '2')",2
743,"('3', '4', '5')",4
744,"('1', '4')",4
745,"('1', '3', '4', '5')",3
746,"('2', '3', '4', '5')",4
747,"('1', '2', '3', '4', '5')",5
748,"('2', '3', '4', '5')",2
749,"('1', '5')",5
750,"('3', '4')",3
751,"('3', '4', '5')",4
752,"('1', '2', '3', '5')",1
753,"('1', '3', '4', '5')",1
754,"('1', '3', '4', '5')",3
755,"('1', '2', '4', '5')",2
756,"('1', '2', '3', '4', '5')",1
757,"('1', '2', '3', '4', '5')",1
758,"('2', '5')",2
759,"('2', '5')",2
760,"('1', '2', '3', '4', '5')",4
761,"('3', '4')",4
762,"('1', '5')",5
763,"('1', '3')",1
764,"('1', '2', '3', '4', '5')",3
765,"('2', '4', '5')",5
766,"('1', '2', '3', '4', '5')",5
767,"('1', '2', '3', '5')",1
768,"('1', '2', '3', '4', '5')",2
769,"('2', '3', '5')",3
770,"('1', '3', '4', '5')",1
771,"('2', '3', '5')",2
772,"('1', '2', '4')",4
773,"('1', '2', '3', '5')",5
774,"('1', '2', '3', '4', '5')",2
775,"('3', '5')",5
776,"('1', '2', '3', '5')",2
777,"('1', '2')",2
778,"('1', '2', '3', '4', '5')",3
779,"('1', '3')",3
780,"('2', '4', '5')",2
781,"('2', '3', '5')",3
782,"('2', '4')",4
783,"('1', '2', '3', '4', '5')",3
784,"('3', '4')",3
785,"('2', '3', '4', '5')",2
786,"('1', '2', '3', '4', '5')",1
787,"('1', '2', '3', '4', '5')",1
788,"('1', '2', '3')",1
789,"('2', '4', '5')",5
790,"('1', '3', '4', '5')",1
791,"('1', '2', '3', '4', '5')",1
792,"('2', '3', '4', '5')",2
793,"('1', '4')",1
794,"('2', '3', '4', '5')",3
795,"('1', '3', '5')",3
796,"('1', '3', '4', '5')",3
797,"('1', '2')",1
798,"('3', '5')",3
799,"('2', '5')",5
800,"('1', '2')",2
801,"('1', '2', '4', '5')",5
802,"('2', '3', '5')",5
803,"('2', '5')",2
804,"('1', '3', '5')",5
805,"('1', '2', '4')",4
806,"('4', '5')",4
807,"('2', '3')",3
808,"('2', '3', '4', '5')",4
809,"('1', '2', '3', '4', '5')",4
810,"('1', '2', '3', '4', '5')",1
811,"('1', '2', '3', '4', '5')",1
812,"('1', '2', '3', '4')",1
813,"('1', '3', '4', '5')",3
814,"('1', '5')",1
815,"('1', '3', '4')",1
816,"('1', '3')",3
817,"('2', '3', '4', '5')",3
818,"('3', '4', '5')",5
819,"('1', '2', '3', '4', '5')",2
820,"('1', '2')",2
821,"('1', '2', '3', '4')",2
822,"('1', '2', '4', '5')",4
823,"('4', '5')",5
824,"('1', '2', '3', '4', '5')",2
825,"('1', '2', '4', '5')",1
826,"('1', '3', '4')",1
827,"('1', '2', '3', '4', '5')",1
828,"('1', '2', '3', '4', '5')",3
829,"('2', '3', '5')",2
830,"('2', '3', '4', '5')",2
831,"('1', '2', '3', '4', '5')",1
832,"('1', '2')",1
833,"('1', '2', '4')",4
834,"('1', '3', '4')",1
835,"('2', '3')",3
836,"('1', '2', '5')",1
837,"('2', '3', '4', '5')",5
838,"('1', '2', '3', '5')",1
839,"('1', '3', '4', '5')",1
840,"('1', '3', '4')",1
841,"('1', '3', '4', '5')",3
842,"('2', '3')",3
843,"('1', '2', '4', '5')",2
844,"('1', '2', '3', '4', '5')",4
845,"('1', '3', '5')",3
